māhāyāne traidhātukaṃ vijñaptimātraṃ vyavasthāpyate /	In the Great Vehicle, the three realms of existence¹ are determined as being perception-only.
yadi yathā svapne vijñaptir abhūtārthaviṣayā tathā jāgrato 'pi syāt tathaiva tadabhāvaṃ lokaḥ svayam avagacchet /	Objection: If, even when one is awake, perception has sense-objects which weren't, like in a dream, then people would understand their non-being by themselves.
na caivaṃ bhavati /	But that isn't the case.
tasmān na svapna ivārthopalabdhiḥ sarvā nirarthikā /	So it's not that the apprehension of objects is like in a dream, and all perceptions are really without an (external) object.
idam ajñāpakaṃ / yasmāt / svapnadṛgviṣayābhāvaṃ nāprabuddho 'vigacchati //	Reply This argument won't bring us to the cognition you : wish, because Somebody who isn't awake doesn't understand the nonbeing of the visual sense-objects in a dream.
evaṃ vitathavikalpābhyāsavāsanānidrayā prasupto lokaḥ svapna ivābhūtam arthaṃ paśyan na prabuddhas tadabhāvaṃ yathāvan nāvagacchati / yadā tu tatpratipakṣalokottaranirvikalpajñānalābhāt prabuddho bhavati tadā tatpṛṣṭhalabdhaśuddhalaukikajñānasaṃmukhībhāvād viṣayābhāvaṃ yathāvad avagacchatīti samānam etat //	c Just as people when they are asleep in a dream have their faculties concentrated on impressions of appearances of discriminations which appear differently than they do later, and, as long as they aren't awake, don't understand the non-being of objects of sense and understanding that weren't, just so when they become awakened by the attainment of a supermundane knowledge free from discriminations, which is the antidote to these (discriminations), then they truly understand the non-being of these sense-objects through meeting with a clear worldly subsequently attained knowledge.
yadi svasaṃtānapariṇāmaviśeṣād eva satvānām arthapratibhāsā vijñaptaya utpadyante nārthaviśeṣāt / tadā ya eṣa pāpakalyāṇamitrasaṃparkāt sadasaddharmaśravaṇāc ca vijñaptiniyamaḥ sattvānāṃ sa kathaṃ sidhyati asati sadasatsaṃparke taddeśanāyāṃ ca /	Objection: If, through a special transformation of "their own" moment-series, perceptions with the appearance of (external) objects of sense or understanding arise for beings, and not through special objects themselves, then how can any certainty as regards perceptions be demonstrated from association with bad or good friends, or from hearing about existent and non-existent events , since there can exist neither association with the good or bad, nor any real teaching ?
anyonyādhipatitvena vijñaptiniyamo mithaḥ /	Reply: The certainty of perceptions takes place mutually, by the state of their sovereign effect on one another.
sarveṣāṃ hi sattvānām anyonyavijñaptyādhipatyena mitho vijñapter niyamo bhavati yathāyogaṃ /	a For all beings there is certainty of perception through a mutual sovereign effect of perceptions on one another, according to circumstances¹.
mitha iti parasparataḥ /	"Mutually" means "each affecting the other".
ataḥ saṃtānāntaravijñaptiviśeṣāt saṃtānāntare vijñaptiviśeṣa utpadyate nārthaviśeṣāt /	So one special perception arises within a moment-series through a special perception within the moment-series, and not because of a special object.
yadi yathā svapne nirarthikā vijñaptir evaṃ jāgrato 'pi syāt kasmāt kuśalākuśalasamudācāro suptāsuptayos tulyaṃ phalam iṣṭāniṣṭam āyatyāṃ na bhavati / yasmāt / middhenopahataṃ cittaṃ svapne tenāsamaṃ phalaṃ //	Objection: If a perception is without an (external) object, just like in a dream, even for those who are awake, why is it that in the practise of the beneficial and unbeneficial there won't be an equal result from desirable and undesirable efforts, for those who are asleep and those who aren't ? Reply: Because Citta is affected by torpor in a dream, so their results are different.
idam atra kāraṇāṃ na tv arthasadbhāvaḥ // yadi vijñāptimātram evedaṃ na kasyacit kāyo 'sti na vāk //	b This is the reason, not the existing being of an (external) object.The Twenty Verses and Their Commentary Objection If all this is perception-only, there can't be body or speech for anybody.
katham upakramyamāṇānām aurabhrikādibhir urabhrādīnāṃ (Vvs_)	So how can the dying of sheep who have been attacked by shepherds, take place?
maraṇaṃ bhavti / atatkṛte vā tanmaraṇe katham aurabhrikādīnāṃ prāṇātipātāvadyena yogo bhavati /	If their dying takes place without the shepherds having done anything, how can the shepherds be held responsible for the offense of taking life ?
maraṇam paravijñaptiviśeṣād vikriyā yathā / smṛtilopādikānyeṣāṃ piśācādimanovaśāt // yathā hi piśācādimanovaśād anyeṣāṃ smṛtilopasvapnadarśanabhūtagrahāveśavikārā bhavanti / ṛddhivan manovaśāc ca / yathā sāraṇasyāryamahākātyāyanādhiṣṭhānāt svapnadarśanaṃ /	Reply: Dying may be a modification resulting from a special perception by another, just like losses of memory, etc. may take place through the mental control of spirits, etc. Just as there may be modifications in others, such as loss of memory, the seeing of dreams, or being taken possession of by spirits, by the mental control of psychic powers, as in the case of Sāraṇa's seeing dreams through Mahā-Kātyāyana's mental force, or, as in the case of the vanquishing of Vemacitra through mental harming coming from the forest-dwelling seers.
tathā paravijñaptiviśeṣādhipatyāt pareṣāṃ jīvitendriyavirodhinī kācid vikriyotpadyate yayā sabhāgasaṃtativicchedākhyaṃ maraṇaṃ bhavatīti veditavyaṃ	In the same way, through the force of a special perception of another, a certain modification of the aggregate-series, destroying its life-force, may arise, through which dying, which is to be known as a name for a discontinuity in the aggregate-series taking part in an organism, takes place.
kathaṃ vā daṇḍakāraṇyaśūnyatvam ṛṣikopataḥ /	Or else, how was it that the Dandaka Forest became empty because of the anger of seers ?
yadi paravijñaptiviśeṣādhipatyāt sattvānāṃ maraṇaṃ neṣyate / manodaṇḍasya hi mahāsāvadyatvaṃ sādhayatā bhagavatopālir gṛhapatiḥ pṛṣṭaḥ / kaccit te gṛhapate śrutaṃ kena tāni daṇḍakāraṇyāni mātaṅgāraṇyāni kaliṅgāraṇyāni śūnyāni medhyībhūtāni /	a If it isn't accepted that the dying of beings can occur through the force of a special perception in others, how is it that the Exalted One, in order to demonstrate that mental harm constitutes a great offense, questioned Upali when he was still a householder, as follows: "Householder! Through what agency were the Daṇḍaka, Matanga, and Kalinga Forests made empty and sacred, as has been reported ?”, and Upāli replied, “I heard that it happened through the mental harming of seers, Gautama."
manodaṇḍo mahāvadyaḥ kathaṃ vā tena sidhyati //	If not, how could it be demonstrated that mental harm constitutes a great offense ?
yady evaṃ kalpyate / tadabhiprasannair amānuṣais tadvāsinaḥ sattvā utsāditā na tv ṛṣīṇāṃ manaḥpradoṣān mṛtā ity evaṃ sati kathaṃ tena karmaṇā manodaṇḍaḥ kāyavāgdaṇḍābhyāṃ mahāvadyatamaḥ siddho bhavati / tanmanaḥpradoṣamātreṇa tāvatāṃ sattvānāṃ maraṇāt sidhyati //	If this situation were constructed as not taking place through a mental harming, and it were to be said that those sentient beings that were living in that forest were destroyed by nonhuman spirits that had been propitiated as if they were seers, how could it be demonstrated by this passage that mental harm through mental action is a greater offense than bodily or verbal harm ? This passage demonstrates that the dying of so many sentient beings came about only through a mental harming.
yadi vijñaptimātram evedaṃ paracittavidaḥ kiṃ paracittaṃ jānanty atha na /	Objection: But if all this is perception-only, do those who understand the cittas of others really know the cittas of others, or don't they?
kiṃ cātaḥ /	Reply : What about this ?
yadi na jānanti kathaṃ paracittavido bhavanti /	Objector: If they don't know them, how can they be "those who understand the cittas of others" ?
atha jānanti /	Reply They know them.
paracittavidāṃ jñānam ayathārthaṃ kathaṃ yathā /	The knowledge of those who understand others' cittas is not like an object. And how is this?
svacittajñānaṃ	As in the case of a knowledge of one's own citta.
tad api katham ayathārtha /	a Objector : And how is that knowledge (of one's own citta) not like an object ?
ajñānād yathā buddhasya gocaraḥ //	Reply : Because of non-knowledge, as in the case of the scope of Buddhas.
yathā tannirabhilāpyenātmanā buddhānāṃ gocaraḥ /	b It's just like in the case of the scope of Buddhas, which comes about through the ineffable Self.
tathā tadajñānāt tadubhayaṃ na yathārthaṃ vitathapratibhāsatayā grāhyagrāhakavikalpasyāprahīṇatvāt //	Thus both of these knowledges, because of their inherent non-knowledge, are not like an object, because it is through the state of an appearance of something which appears differently than it does later that there is a state of non-abandonment of the discrimination between object apprehended and subject apprehendor.
anantaviniścayaprabhedāgāmbhīryāyāṃ vijñaptimātratāyāṃ / vijñaptimātratāsiddhiḥ svaśaktisadṛśī mayā / kṛteyaṃ sarvathā sā tu na cintyā	Though perception-only has unfathomable depth, and there are limitless kinds of ascertainments to be gained in it, I have written this demonstration of perception-only according to my abilities,The Twenty Verses and Their Commentary but in its entirety it is beyond the scope of citta.
sarvaprakārā tu sā mādṛśaiś cintayituṃ na śakyate / tarkāviṣayatvāt /	a It is impossible for people like me to consider it in all its aspects, because it is not in the range of dialetics.
buddhagocaraḥ // buddhānāṃ hi sā bhagavatāṃ sarvaprakāraṃ gocaraḥ sarvākārasarvajñeyajñānāvighātād iti // viṃśatikā vijñaptimātratāsiddhiḥ /	And in order to show by whom it is known entirely as a scope of insight, it is said to be the scope of Buddhas. b In all its modes, it is the scope of Buddhas, Exalted Ones, because of their lack of impediment to the knowledge of everything that can be known in all aspects.
