oṃ sāmavedīyā chāndogyopaniṣat	One should meditate upon the syllable ‘Om’, the Udgītha; because one sings beginning with ‘Om’;
tad vā etad yad etad ādityasya paraḥkṛṣṇaṃ rūpam // atha ye 'syodañco raśmaya ityādi samānam /	this is what appears as the very black colour in the Sun Then, its Northern rays etc, etc, etc
atharvāṅgiraso 'tharvaṇāṅgirasā ca dṛṣṭā mantrā atharvāṅgirasaḥ karmaṇi prayuktā madhukṛtaḥ /	Atharvāṅgirasasare the mantratexts seen by revealed to AtharvanAṅgiras; these, as used at sacrificial acts, are the honeyproducers
itihāsapurāṇaṃ puṣpam / tayoścetihāsapurāṇayoraśvamedhe pāriplavāsu rātriṣu karmāṅgatvena viniyogaḥ siddhaḥ /	ItihāsaPurāṇa are the flowers;the use of ItihāsaPurāṇa is wellknown as to be made as part of the ‘Pāriplavanights’ at the Aśvamedha sacrifice
madhvetadādityasya paraḥ kṛṣṇaṃ rūpamatiśayena kṛṣṇamityarthaḥ //	This honey is what appears as the very black colour in the Sunie, that which is extremely black
iti chāndogyopaniṣadi tṛtīyādhyāyasya caturthaḥ khaṇḍaḥ	End of Section of Discourse
atha ye 'syordhvā raśmayas tā evāsyordhvā madhunāḍyaḥ /	Then, its upward rays are the upper honeycells;
guhyā evādeśā madhukṛtaḥ /	the esoteric teachings are the honey producers;
brahmaiva puṣpaṃ /	Brahman itself is the flower;
tā amṛtā āpaḥ //	those waters are the nectar
te vā ete guhyā ādeśā etad brahmābhyatapan / tasyābhitaptasya yaśas teja indriyaṃ vīryam annādyaṃ raso 'jāyata //	These esoteric teachings pressed this Brahman from it, thus pressed, proceeded the essence, in the shape of fame, resplendence, efficient senseorgans, strength and eatable food
tad vyakṣarat /	It flowed out;
tad ādityam abhito 'śrayat /	it went round the Sun;
tad vā etad yad etad ādityasya madhye kṣobhata iva //	this is what appears as scintillating in the centre of the Sun
atha ye 'syordhvā raśmaya ityādi pūrvavat /	Next, its upward rays etc, etc,as before
guhyā gopyā rahasyā evā'deśā lokadvārīyādividhaya upāsanāni ca karmāṅgaviṣayāṇi madhukṛto brahmaiva śabdādhikārātprāṇavākhyaṃ puṣpam /	Esotericsecret, undisclosable,teachingconcerning the gateway to the regions, as also the meditations relating to the various factors of the Sacrificial Act These are the honeyproducers Brahman itselfwhich stands here for what is named ‘Om’, as indicated by the context which deals with Word,is the flower
samānamanyat /	The rest is as before
madhvetadādityasya madhye kṣobhata iva samāhitadṛṣṭerdṛśyate sañcalatīva //	This honey is what appearsto the man who looks at it intentlyto be scintillatingquiveringin the centre of the Sun
te vā ete rasānāṃ rasāḥ /	These indeed are the Essence of the Essences;
vedā hi rasāḥ / teṣām ete rasāḥ /	The Vedas are the Essences, and they are the Essence of these;
tāni vā etāny amṛtānām amṛtāni /	these indeed are the Nectar of Nectars;
vedā hy amṛtāḥ / teṣām etāny amṛtāni //	the Vedas are the Nectars, and these are the Nectar of these
te vā ete yathoktā rohitādirūpaviśeṣā rasānāṃ rasāḥ /	Thesethe red and the other colours described aboveare the Essence of the Essences
keṣāṃ rasānāmityāhavedā hi yasmāllokaniṣyandatvātsārā iti rasāsteṣāṃ rasānāṃ karmabhāvamāpannānāmapyete rohitādiviśeṣā rasā ityantasārabhūtā	Of what Essences?The Vedas are the Essenceshaving flown out so to say of the Regions; of these ‘Essences’ in the shape of the Vedas,when they appear in the form of Action the Red and other colours are the Essence,ie, the innermost Pith
tathāmṛtānāmamṛtāni vedā hyamṛtā nityatvāteṣāmetāni rohitādīni rūpāṇyamṛtāni /	Similarly, these are the nectar of the nectars The Vedas are the nectars, because they are eternal; of these Vedas,the Red and other colours are the Essence
rasānāṃ rasā ityādi karmastutireṣā / yasyaivaṃviśiṣṭānyamṛtāni phalamiti //	The assertion that ‘These are the Essence of the Essences ete, etc,’ is meant as a praise of the Sacrificial Act, the praise being that the Act is so fruitful that it brings about such excellent results
iti chāndogyopaniṣadi tṛtīyādhyāyasya pañcamaḥ khaṇḍaḥ	End of Section of Discourse
tad yat prathamam amṛtaṃ tad vasava upajīvanty agninā mukhena /	That which is the first nectar, upon that the Vasas live, through the lead of Agni
na vai devā aśnanti na pibanti /	Verily, the deities do not eat nor do they drink;
etad evāmṛtaṃ dṛṣṭvā tṛpyanti //	they are satisfied by merely looking upon this nectar
rūpasyeti / na /	AnswerThere is no force in this
yaśa ādīnāṃ śrotrādigamyatvāt / śrotragrāhyaṃ yaśaḥ /	Because ‘fame’ and other things mentioned are accessible to the auditory and other organs;
tejorūpaṃ cākṣuṣam /	Resplendence is perceptible by the visual organ;
indriyaṃ viṣayagrahaṇakāryānumeyaṃ karaṇasāmarthyam /	the Efficient Senseorgan is the efficiency of organs inferred from its apprehension of perceptible things;
vīryaṃ balaṃ dehagata utsāhaḥ prāṇavattā / annādyaṃ pratyahamupajīvyamānaṃ śarīrasthitikaraṃ yadbhavati raso hyevamātmakaḥ sarvaḥ / yaṃ dṛṣṭvā tṛpyanti sarve devāḥ /	Strength, is power, physical energyvigour;Eatable foodis what is eaten day after day and conduces to the continuance of the body;Essence is what consists of all these,on seeing which all the deities become satisfied; which means that they become satisfied on perceiving all these through their organs of perception;
ādityasaṃśrayāḥ santo vaigandhyādidehakaraṇadoṣarahitāśca //	depending upon the Sun, they are free from all such bodily defects as evil odour and the like
ta etad eva rūpam abhisaṃviśanti / etasmād rūpād udyanti //	They retire into this colour; they rise from this colour
kiṃ te nirudyamā amṛtamupajīvanti / na /	The question beingDo the Deities there remain idle, living upon the nectar?The answer isNo;
kathaṃ tarhi,	what happens is that they retire into this colour;
etadeva rūpamabhilakṣyādhunā bhogāvasaro nāsmākamiti buddhvābhisaṃviśantyudāsate /	that is, with reference to the said colour, they feel that it is not the occasion for their enjoyment, and hence they retire within it,ie, they remain neutral
yadā vai tasyāmṛtasya bhogāvasaro bhavettadaitasmādamṛtādamṛtabhoganimittamityarthaḥ / etasmādrūpādudyantyutsāhavanto bhavantītyarthaḥ /	When the time comes for the enjoyment of the said nectar, then, out of this nectarie for the sake of this said nectar,out of this colour, they rise, ie, they become vigorous
na hyanutsāhavatāmananapatiṣṭhatāmalasānāṃ bhogaprāptirloke dṛṣṭā //	Even in the ordinary ‘’world it is found that there is no enjoyment for persons who are idle, lacking energy and not doing anything,
sa ya etad evam amṛtaṃ veda vasūnām evaiko bhūtvāgninaiva mukhenaitad evāmṛtaṃ dṛṣṭvā tṛpyati /	One who knows this nectar thus becomes one of the Vasus, and through the lead of Agni becomes satisfied by looking upon this nectar;
sa etad eva rūpam abhisaṃviśati /	he retires into this colour and rises for this colour
sa yaḥ kaścidetadevaṃ yathoditamṛṅmadhukaratāparasasaṃrakṣaṇamṛgvedavihitakarmapuṣpāttasya cā'dityasaṃśrayaṇaṃ rohita rūpatvaṃ cāmṛtasya prācīdiggataraśmināḍīsaṃsthatāṃ vasudevabhogyatāṃ tadvidaśca vasubhiḥ sahaikatāṃ gatvāgninā mukenopajīvanaṃ darśanamātreṇa tṛptiṃ svabhogāvasara udyamanaṃ tatkālāpāye ca saṃveśanaṃ veda so 'pi vasuvatsarvaṃ tathaivānubhavati //	He who knows this nectar thusas described abovein the shape of the Ṛk, the Honey,its being pressed,the preservation of its Essence,the flowing of Honeyout of the Actions prescribed in the Ṛgveda, as the flower,its passing round the Sun,its Red colour,the fact of the nectar being located in the Beehive in the shape of the Eastern rays,the fact of its being enjoyed by the Vasus,the unification of the person knowing this with the Vasus,and through Agni as leader, this person being satisfied by merely looking on, rising on the occasion of their enjoyment, and retiring on the lapse of that occasion;he who knows all this, enjoys all this, just like the Vasus
sa yāvad ādityaḥ purastād udetā paścād astam etā vasūnām eva tāvad ādhipatyaṃ svārājyaṃ paryetā //	As long as the Sun rises in the East and sets in the West, so long does he attain sovereignty of the Vasus, the kingdom of Heaven
kiyantaṃ kālaṃ vidvāṃstadamṛtamupajīvatītyucyate sa vidvānyāvadādityaḥ purastātprācyāṃ diśyudetā paścātpratīcyāmastametā tāvadvasūnāṃ bhogakālastāvantameva	It is now described for how long the knowing person lives upon the said nectar;As long as the Sun rises in the East,in the Eastern quarter,and sets in the West,so long is the time of enjoyment for the Vasus;
kālaṃ vasūnāmādhipatyaṃ svārājyaṃ paryatā parito gantā bhavatītyarthaḥ /	and so long does the man attain the sovereignty of the Vasus, the kingdom of Heaven,that is, he goes round to that position
na yathā candramaṇḍalasthaḥ kevalakarmī paratantro devānāmannabhūtaḥ /	He is not like the mere Ritualist without know ledge who resides after death in the Moon, dependent upon others, treated by the deities as their ‘food’;
kiṃ tarhyayamādhipatyaṃ svarāḍbhāvaṃ cādhigacchati //	the knowing man, in fact, attains sovereignty and the kingdom of Heaven
iti chāndogyopaniṣadi tṛtīyādhyāyasya ṣaṣṭhaḥ khaṇḍaḥ	End of Section of Discourse
atha yad dvitīyam amṛtaṃ tad rudrā upajīvantīndreṇa mukhena /	That which is the second nectar, upon that the Rudras live, through the lead of Indra
na vai devā aśnanti na pibanti /	Verily, the Deities do not eat, nor do they drink;
etad evāmṛtaṃ dṛṣṭvā tṛpyanti //	they are satisfied by merely looking upon this nectar
ta etad eva rūpam abhisaṃviśanti / etasmād rūpād udyanti //	They retire into this colour; they rise from this colour
sa ya etad evam amṛtaṃ veda rudrāṇām evaiko bhūtvendreṇaiva mukhenaitad evāmṛtaṃ dṛṣṭvā tṛpyati /	One who knows this nectar thus becomes one of the Rudras and through the lead of Indra becomes satisfied by looking upon this nectar;
sa etad eva rūpam abhisaṃviśati /	he retires into this colour and rises from this colour
sa yāvad ādityaḥ purastād udetā paścād astam etā dvis tāvad dakṣiṇata udetottarato 'stam etā rudrāṇām eva tāvad ādhipatyaṃ svārājyaṃ paryetā	As long as the Sun rises in the East and sets in the West,and twice as long does it rise towards the South and sets towards the North,so long does the man attain sovereignty of the Rudras, the kingdom of Heaven
sa yāvadādityaḥ purastādudetā paścādastametā dvistāvattato dviguṇaṃ kālaṃ dakṣiṇata udetottarato 'stametā rudrāṇāṃ tāvadbhogakālaḥ	That which is the second nectar, or that the Rudras live etc, etc,as before As long as the Sun rises in the East and sets in the West twice as long does it rise towards the South and set towards the North
iti chāndogyopaniṣadi tṛtīyādhyāyasya saptamaḥ khaṇḍaḥ	this is the direction of the Rudras’ experience End of Section of Discourse
atha yat tṛtīyam amṛtaṃ tad ādityā upajīvanti varuṇena mukhena /	That which is the third nectar, upon that the Ādityas live; through the lead of Varuṇa
na vai devā aśnanti na pibanti / etad evāmṛtaṃ dṛṣṭvā tṛpyanti //	Verily, the Deities do not eat, nor do they drink, they are satisfied by merely looking upon this nectar
ta etad eva rūpam abhisaṃviśanti / etasmād rūpād udyanti //	They retire into this colour; as they rise from this colour
sa ya etad evam amṛtaṃ vedādityānām evaiko bhūtvā varuṇenaiva mukhenaitad evāmṛtaṃ dṛṣṭvā tṛpyati /	One who knows this nectar thus becomes one of the Ādityas, and through the lead of Varuṇa, becomes satisfied by looking upon this nectar;
sa etad eva rūpam abhisaṃviśati /	he retires into this colour and rises out of this colour
sa yāvad ādityo dakṣiṇata udetottarato 'stam etā dvis tāvat paścād udetā purastād astam etādityānām eva tāvad ādhipatyaṃ svārājyaṃ paryetā	As long as the Sun rises towards the South and sets towards the North,twice as long does it rise in the West and set in the East; and so long the man attains the sovereignty of the Ādityas, the kingdom of Heaven
atha yac caturtham amṛtaṃ tan maruta upajīvanti somena mukhena /	That which is the fourth nectar, upon that the Maruts live through the lead of Soma
na vai devā aśnanti na pibanti /	Verily, the Deities do not eat, nor do they drink;
etad evāmṛtaṃ dṛṣṭvā tṛpyanti //	they are satisfied by merely looking upon this nectar
ta etad eva rūpam abhisaṃviśanti / etasmād rūpād udyanti //	They retire into this colour, and they rise from this colour
sa ya etad evam amṛtaṃ veda marutām evaiko bhūtvā somenaiva mukhenaitad evāmṛtaṃ dṛṣṭvā tṛpyati /	One who knows this nectar thus becomes one of the Maruts, and through the lead of the Maruts, becomes satisfied by looking upon this nectar;
sa etad eva rūpam abhisaṃviśati /	he retires into the colour and rises from this colour
sa yāvad ādityaḥ paścād udetā purastād astam etā dvis tāvad uttarata udetā dakṣiṇato 'stam etā marutām eva tāvad ādhipatyaṃ svārājyaṃ paryetā	So long as the Sun rises in the West and sets in the East,twice as long does it rise in the North and set in the South,so long does the man attain the sovereignty of the Maruts, the kingdom of Heaven
atha yat pañcamam amṛtaṃ tat sādhyā upajīvanti brahmaṇā mukhena /	That which is the fifth nectar, upon that the Sādhyas live through the lead of Brahman
na vai devā aśnanti na pibanti /	Verily, the Deities do not eat, nor do they drink;
etad evāmṛtaṃ dṛṣṭvā tṛpyanti //	they are satisfied by merely looking upon this nectar
ta etad eva rūpam abhisaṃviśanti / etasmād rūpād udyanti //	They retire into this colour, and they rise from this colour
sa ya etad evam amṛtaṃ veda sādhyānām evaiko bhūtvā brahmaṇaiva mukhenaitad evāmṛtaṃ dṛṣṭvā tṛpyati /	One who knows this nectar thus becomes one of the Sādhyas, and through the lead of Brahman, becomes satisfied by looking at this colour, and rises from this colour
sa yāvad āditya uttarata udetā dakṣiṇato 'stam etā dvis tāvad ūrdhvam udetārvāg astam etā sādhyānām eva tāvad ādhipatyaṃ svārājyaṃ paryetā	So long as the Sun rises in the North and sets in the South,and twice as long does it rises overhead and sets below,so long does the man attain the sovereignty of the Sādhyas, the kingdom of Heaven
, tathā paścāduttarata ūrdhvamudetā viparyayeṇāstametā / pūrvasmātpūrvasmāddviguṇottarottareṇa kālenetyapaurāṇaṃ darśanam /	On Sections 0ObjectionRising in the West, rising in the North, rising overhead,and setting in the respective contrary directions,and each of the succeeding being twice as long as the preceding one,and all the rest of it is quite contrary to what we learn from the Purāṇas
savituścaturdiśamindrayamavaruṇasomapurīṣūdayāstamayakālasya tulyatvaṃ hi paurāṇikairuktam / mānasottarasya mūrdhani meroḥ pradakṣiṇāvṛttestulyatvāditi /	the reason for this lying in the fact that the circular path of the Sun;which lies over the top of mount Meru situated on the North of the Mānas Lake,is always the same irrespective of the direction of the rising or setting of the Sun, as has been described in detail in the ViṣṇuPurāṇaa
atroktaḥ parihāra ācāryaiḥ /	The answer to this has been thus explained by the revered teacher Draviḍācārya, acc
amarāvatyādīnāṃ purīṇāṃ dviguṇottarottareṇa kālenodvāsaḥ syāt /	to ĀnandagiriIn the case of Amarāvatī Indra’s city in the East and the cities of other Deities in the South and other directions, the time taken by the depopulation of the succeeding one would be twice of that taken by the depopulation of the other;
udayaśca nāma savitustannivāsināṃ prāṇināṃ cakṣugocarāpattistadatyayaṣcastamanaṃ na paramārthata udayāstamane staḥ / tannivāsināṃ ca prāṇināmabhāve tānprati tenaiva mārgeṇa gacchannapi naivodetā nāstameteti cakṣurgocarāpattestadatyayasya cābhāvāt /	the ‘rising’ of the Sun also in a certain region consists only in its becoming visible to the eyes of the persons living in that region,and its ‘setting’ consists, in its becoming invisible; and «n reality, there is neither ‘rising’ nor ‘setting’ of the Sun;so that when there are no inhabitants in any region,even though the Sun may be going by that path,there is neither ‘rising’ nor ‘setting’ so far as that region is concerned; as there can be no visibility or invisibility
tathāmarāvatyāḥ sakāśāddviguṇaṃ kālaṃ saṃyamanī purī vasatyatastannivāsinaḥ prāṇinaḥ prati dakṣiṇata ivodetyuttarato 'stametītyucyate 'smadbuddhiṃ	Thus then, inasmuch as the city of Saṃyamanī of Yama, in the South remains inhabited twice as long as the city of Amarāvatī of Indra in the East,so far as the inhabitants of the city of Samyamanī arc concerned, the Sun is said to rise in the South and set in the Northsthis assertion being made from the viewpoint of ourselves inhabitants of the Earth
tathottarāsvapi purīṣu yojanā /	Similar explanation applies to the case of the other cities and Regions
sarveṣāṃ ca meruruttarato bhavati /	As a matter of fact, mount Meru lies to the North of all these ‘cities’ and Regions;
yadāmarāvatyāṃ madhyāhnagataḥ savitā tadā saṃyamanyāmudyandṛśyate tatra madhyāhnagato vāruṇyāmudyandṛśyate, tathottarasyāṃ,	so that when, in the city of Amarāvatī the Eastern region, the Sun is at meridian, then at that time, in the city of Saṃyamanī the Southern Region, the Sun is seen ‘rising’, and when it is seen at meridian in the southern region, it is seen ‘rising’ in the city of Vāruṇī the Western Region;
pradakṣiṇāvṛttestulyatvāt / ilāvṛtavāsināṃ sarvataḥ parvataprākāranivāritādityaraśmīnāṃ savitordhva ivodetāvagistametā dṛśyate / parvatordhvacchidrapraveśātsavitṛprakāśasya /	As regards the Ilāvṛta continent which surrounds the mount Meru, people who live there have the Sun’s rays shut out from them by the encircling wall of mountains; so that for them, the Sun always appears to rise ‘overhead’ and set ‘below’;the rays of the Sun piercing through the crevices in the mountain
tathargādyamṛtopajīvināmamṛtānāṃ ca dviguṇottarottaravīryavattvamanumīyate bhogakāladvaiguṇyaliṅgena /	Similarly, as regards the beings living upon the ‘Ṛk’ and other ‘Nectars’as also the Nectars’ themselves,their gradual increase in their strength and visibility is inferred from the fact that the time of experience and enjoyment becomes gradually doubled
udyamanasaṃveśanādi devānāṃ rudrādīnāṃ viduṣaśca samānam //	The ‘retiring’ and ‘rising’ is the same in the case of the Rudras and other Deities as in the case of persons knowing them
iti chāndogyopaniṣadi tṛtīyādhyāyasyāṣṭamanavamadaśamakhaṇḍāḥ	End of Section 0 of Discourse
atha tata ūrdhva udetya naivodetā nāstam etaikala eva madhye sthātā /	Now rising from thence upward, He neither rises nor sets He stands alone in the middle
tad eṣa ślokaḥ //	To this effect there is the following verse
kṛtvaivamudayāstamanena prāṇināṃ svakarmaphalabhoganimittamanugrahaṃ tatkarmaphalopabhogakṣaye tāni prāṇijātānyātmani saṃhṛtyātha tatastasmādanantaraṃ prāṇyanugrahakālādūrdhvaḥ sannātmanyudetyodgamya yānpratyudeti teṣāṃ prāṇināmabhāvātsvātmastho	Through the abovedescribed ‘rising’ and ‘setting’, having helped the beings to experience the results of their acts,when this experience comes to an end, the Sun absorbs all these beings; and then, after the time of helping the creatures has ceased, the Sun, rising from thence upward, within himself,as there are no longer any living beings for whose sake He could rise,He rests within himself, and neither rises nor sets;
naivodetā nāstametaikalo 'dvitīyo 'navayavo madhye svātmanyeva sthātā /	He stands alone by himselfwithout a second, without any constituent parts,in the middle,within himselfHe stands alone
tatra kaścidvidvānvasvādisamānacaraṇo rohitādyamṛtabhogabhāgī yathoktakrameṇa svātmānaṃ savitāramātmatvenopetya samāhitaḥ sannetaṃ mantraṃ dṛṣṭvotthito 'nyasmai pṛṣṭavate jagāda / yatastvamāgato brahmalokātkiṃ tatrāpyahorātrābhyāṃ parivartamānaḥ savitā prāṇināmāyuḥ kṣapayati yathehāsmākamityevaṃ pṛṣṭaḥ pratyāha / tattatra yathā pṛṣṭe yathokte cārtha eṣa śloko bhavati tanokto yogineti śrutervacanamidam //	A certain learned person, being in the position of the Vasus and enjoying the Red and the other kinds of ‘Nectar’,approaches the Sun standing within himself as his own ‘self’, in the manner described above and thus become selfcentred and composed,said had revealed to him this Mantratext,said to another person who had questioned him, in the following words‘In the Region of Brahman from where you come,does the Sun there also,as in our world here,revolve through days and nights and thereby cut short the lifespan of living beings?’Being thus questioned what the knowing Yogin;said in reply is expressed in the following verse, which represents the answer to the question put to the Yogin;this is what the present Vedic text declares
na vai tatra na nimloca /	‘It is not so there; He never set
devās tenāhaṃ satyena / mā virādhiṣi brahmaṇeti //	He never rose, O, Ye, Deities; by this truth, may not fall foul of Brahman !’
na vai tatra yato 'haṃ brahmalokādāgatastasminna vai tatraitadasti yatpṛcchasi /	‘It is not so there’in the Region of Brahman from where come, it is not as you ask
na hi tatra nimloco 'stamagamatsavitā na codiyāyodgataḥ kutaścitkadācana kasmiṃścidapi kāla iti /	There the Sun has never set nor as He ever risen,neverat any time
udayāstamayavarjito brahmaloka ityanupapannamityuktaḥ śuthamiva pratipede /	Being told that it is apparently impossible that in the region of Brahman there should be neither sunrise nor sunset,the man has recourse to an oath;
he devāḥ sākṣiṇo yūyaṃ śṛṇuta yathā mayoktaṃ satyaṃ vacastena steyanāhaṃ brahmaṇā brahmasvarūpeṇa mā virādhiṣi mā virudhyeyamaprāptirbrahmaṇā	‘O, ye Deitieswho are witnesseslisten to thisby this truthwhat have said,may not fall foul of Brahman; that may if what say is not true not attain Brahman ‘What the man has said is quite true’says the Sruti in the following words
mama mā bhūdityarthaḥ // na ha vā asmā udeti na nimlocati /	For one who thus knows the secret doctrine of Brahman, it does not set nor does it rise;
sakṛd divā haivāsmai bhavati /	for him, it is day once for all
ya etām evaṃ brahmopaniṣadaṃ veda //	For him who knows the abovedescribed Brahman, the Sun rises not;
na nimlocati nāstameti kiṃ tu brahmavide 'smai sakṛddivā haiva sadaivāharbhavati	nor does it set; for this knower of Brahman, it is day once for all; that is, for him, there is always day;
svayañjyotiṣṭvādya etāṃ yathoktāṃ brahmopaniṣadaṃ vedaguhyaṃ veda /	because this man who knows the said secret doctrine of Brahman,hidden in the Veda,is selfillumined
evaṃ tantreṇa vaṃśāditrayaṃ pratyamṛtasambandhaṃ ca yaccānyadavocāmaivaṃ jānātītyarthaḥ /	The meaning is that all this refers to the person who knows all that has been said above about three ‘crossbeams’, the connected ‘nectar’ and the rest of it
vidvānudayāstamayakālāparicchedyaṃ nityamajaṃ brahma bhavatītyarthaḥ //	What it all means is that the knowing man becomes that Brahman which is not conditioned by time as measured by sunrise and sunset, it is eternal and unborn
tad dhaitad brahmā prajāpataya uvāca / prajāpatir manave /	Brahmā expounded this to Prajāpati, Prajāpati to Manu and Manu to his offsprings
manuḥ prajābhyaḥ / tad dhaitad uddālakāyāruṇaye jyeṣṭhāya putrāya pitā brahma provāca // taddhaitanmadhujñānaṃ brahmā hiraṇyagarbho virāje prajāpataya uvāca /	The father of UddālakaĀruṇi expounded to him, his eldest son this Brahman This doctrine of Honey,BrahmāHiraṇyagarbha expounded to PrajāpatiVirāṭ this latter expounded it to Manu, and Manu expounded to his offsprings Ikṣvāku and the rest
manurikṣvākvādyābhyaḥ prajābhyaḥ provāceti vidyāṃ stauti brahmādiviśiṣṭakramāgateti /	This text eulogises the Doctrine as having come down through such distinguished tradition, from Brahmā downwards
kiṃ ca taddhaitanmadhujñānamuddālakāyā'ruṇaye pitā	Further, this same Doctrine of Honey was taught by the father of UddālakaĀruṇi, to him, his eldest son,as the Science of Brahma
idaṃ vāva taj jyeṣṭhāya putrāya pitā brahma prabrūyāt praṇāyyāya vāntevāsine // idaṃ vāva tadyathoktamanyo 'pi jyeṣṭhāya putrāya sarvapriyārhāya brahma prabrūyāt /	Verily, this Brahman, the Father, may expound to his eldest son, or to a worthy disciple Verily, this Brahman,described above,another father also may expound to this eldest son, who is dearest and most worthyor to a worthyqualifieddisciplepupil
nānyasmai kasmaicana /	Not to anyone else;
yady apy asmā imām adbhiḥ parigṛhītāṃ dhanasya pūrṇāṃ dadyād etad eva tato bhūya iti //	even though he gave him the whole of this seagirt Earth full of treasure for this is greater than that,yea, it is greater than that
nānyasmai kasmaicana prabrūyāttīrthadvayamanujñātamanekeṣāṃ prāptānāṃ tīrthānāmācāryādīnām /	One should not expound this to any one else For all teachers, two pupils have been permitted here, from among several possible ones
kasmātpunastīrthasaṅkocanaṃ vidyāyā niṣkrayārthamācāryāya dhanasya pūrṇāṃ sampannāṃ bhogopararaṇairnāsāvasya niṣkrayo yasmāttato 'pi dānādetadeva yanmadhuvidyādānaṃ	QuestionWhy has this limitation been placed on the dissemination of knowledge? AnswerEven though, to such a teacher, any one were to give the whole of this Earth surrounded by water,seagirtfull of treasurefully equipped with articles of enjoyment,in return for this teaching,this cannot be a fit price;
bhūyo bahutaraphalamityarthaḥ / dvirabhyāsa ādarārthaḥ //	because itthe teaching of the Doctrine of Honeyis greatermore fruitfulthan thatie, the said, gift
gāyatrī vā idaṃ sarvaṃ bhūtaṃ yad idam kiñca /	The repetition is meant to indicate the great importance of the subject
vāg vai gāyatrī /	End of Section of Discourse
yata evamatiśayaphalaiṣā brahmavidyātaḥ sā prakārāntareṇāpi vaktavyeti gāyatrī vā ityādyārabhyate /	Inasmuch as this Science of Brahman is conducive to such excellent results, it is right that it should be expounded in another manner also; hence the Text begins the next section with the words
gāyatrīdvāreṇa cocyate /	‘Gāyatrī va’‘Gāyatrī indeed is’;
brahmaṇaḥ sarvaviśeṣarahitasya neti netītyādiśiṣapratiṣedhagamyasya durbodhatvāt / satsvanekeṣu cchandaḥsu gāyatryā eva brahmajñānadvāratayopādānaṃ prādhānyāt /	and this science is expounded through the Gāyatrī, because directly by itself Brahman is hard to comprehend, being, as it is, devoid of differentiating qualifications, and comprehensible only through such negation of qualifications as contained in the Vedic text ‘Not this, not that’
somāharaṇāt itaracchandokṣarāharaṇenetaracchandovyāptyā ca sarvasavanavyāpakatvācca yajñe prādhānyaṃ gāyatryāḥ /	and this importance of the Gāyatrī at the sacrificial performance is proved by a the fact that it was the Gāyatrī that carried the Soma to the deities, b the fact that it has absorbed the syllabus of all other metres and as such pervades over them all, and c the fact that it pervades over all ‘extractions’
gāyatrīsāratvācca brāhmaṇasya mātaramiva hitvā gurutarāṃ gāyatrīṃ tato 'nyadgurutaraṃ na pratipadyate yathoktaṃ brahmāpīti /	Further, inasmuch as the Gāyatrī is thevery essence of the Brāhmaṇa, the abovedescribed Brahman itsself regards the Gāyatrī as its mother and never has recourse to anything more important than that;
tasyāmatyantagauravasya prasiddhatvāt /	specially as the supreme importance of the Gāyatrī is universally recognised
ato gāyatrīmukhenaiva brahmocyate /	It is for these reasons that Brahman is expounded through the Gāyatrī itself as the vehicle
gāyatrī vā ityavadhāraṇārtho vaiśabdaḥ /	Gāyatrī vai;the particle ‘vai’, ‘indeed’, is meant to indicate emphasis
idaṃ sarvaṃ bhūtaṃ prāmijātaṃ yatkiñca sthāvaraṃ jaṅgamaṃ vā tatsarvaṃ gāyatryeva /	All this, whateverliving being existsanimate as well as inanimate,all this indeed is Gāyatrī itself
tasyāśchandomātrāyāḥ sarvabhūtatvamanupapannamiti gāyatrīkāraṇaṃ vācaṃ śabdayatyasau gaurasāvaśva iti ca trāyate ca rakṣatyamuṣmānmā bhaiṣīḥ kiṃ te bhayamutthitamityādinā sarvato bhayānnivartyamāno vācā trātaḥ syāt /	Feeling that Gāyatrī being a mere metrical concatenation of syllables, it is not possible for it to be everything, the Text proceeds to represent the Gāyatrī as Speech itself, which is the origin of the Gāyatrī;Speech indeed is Gāyatrī; and Speech is everything; because Speech, in the form of word, sings out all that exists;ie, represents everything in words, as ‘that is the cow’, ‘this is the horse,and also protects all that exists;everyone is protected from all dangers by means of such words as‘Do not fear;
yadvāgbhūtaṃ gāyati ca trāyate ca gāyatryeva tadgāyati ca trāyate ca vāco 'nanyatvādgāyatryāḥ /	Inasmuch as Speech sings out and protects all that exists,it is Gāyatrī itself that sings it out and protects it; as Gāyatrī is the same as Speech;
gānāttrāṇācca gāyatryā gāyatrītvam // yā vai sā gāyatrīyaṃ vāva sā yeyaṃ pṛthivī /	and the Gāyatrī is called ‘Gāyatrī’, because it sings out Gāyati and protects Trāyati Verily, that which is Gāyatrī is indeed this Earth;
asyāṃ hīdaṃ sarvaṃ bhūtaṃ pratiṣṭhitam / etām eva nātiśīyate //	it is on this that all that exists, rests and it does not go beyond this
yā vai saivaṃlakṣaṇā sarvabhūtarūpā gāyatrī, iyaṃ vāva sā yeyaṃ pṛthivī /	That which is the Gāyatrī, described above as constituting all things,is indeed this that is known as the Earth
kathaṃ punariyaṃ pṛthivī gāyatrīti,	In what way is this Earth Gayātrī?
ucyatesarvabhūtasambandhāt /	Answer Because of its connection with all that exists
kathaṃ sarvabhūtasambandhaḥ,	In what way is it connected with all that exists?
