input_text	target_text
yo moham udicchiyā aśeṣaṃ bisapuṣpaṃ va sareruhaṃ vigāhya |	That one who cuts off delusion without remainder, like one who has plucked a lotus growing in a lake,
yo krodham udicchiyā aśeṣaṃ bisapuṣpaṃ va sareruhaṃ vigāhya |	That one who cuts off anger without remainder, like one who has plucked a lotus growing in a lake,
yo mānam udicchiyā aśeṣaṃ bisapuṣpaṃ va sareruhaṃ vigāhya |	That one who cuts off conceit without remainder, like one who has plucked a lotus growing in a lake,
yo rāgam udicchiyā aśeṣaṃ kuśa saṃgāni va chetta bandhanāni |	That one who cuts off passion without remainder, having cut the bonds and attachments, like kusa grass,
yo tahnam udicchiyā aśeṣaṃ saritāṃ śīgharayāṃ viśodhayittā |	That one who cuts off craving without remainder, having dried up that quick-flowing stream,
yo nā ’ccasarī na preccasārī sabbaṃ vītasarī imaṃ prapañcaṃ |	He who does not overstep the limit nor lag behind, who is completely free from the limits of this impediment,
yo nā ’ccasarī na preccasārī sabbam idaṃ vitadhaṃ ti moṣadhaṃmaṃ |	He who does not overstep the limit nor lag behind, thinking: “all this is untrue,” a falsity,
yassa vanathā na saṃti keci vinibaṃdhāya bhavāya hetukappā |	For the one with no desire that has arisen, having a cause for bondage to existence,
yassa jarathā na santi keci mūlā akkuśalā samūhatā ’ssa |	For the one with no distress that has arisen, having uprooted all unwholesome roots,
uragavarggaḥ	The Chapter about the Snake
samāptā dharmmapadā amtapadāni gāthāśatāni pañca dve ca gāthe |	Complete are the five hundred and two verses of the Dharma Verses, the Deathless Verses.
yathā dṣṭaṃ tathā likhitam, iti parihāroyam asmadīyaḥ ||	As I saw, so I wrote, giving it our complete attention.
śubham astu sarvvasatvānānaṃ ||	May there be good for all beings!
sabbattha saṃvaro sādhu sādhu sabbattha saṃvaro |	Restraint is good everywhere, restraint is everywhere good,
sabbattha saṃvṛto bhikkhū sabbadukkhā pramuccati ||	a monastic who is restrained everywhere is liberated from all suffering.
kāyena samvaro sādhu sādhu vācāya saṃvaro |	Restraint of body is good, restraint of speech is good,
manasā pi saṃvaro sādhu sādhu sabbattha saṃvaro |	restraint of mind is also good, restraint is everywhere good,
hastasaṃyyato pādasaṃyyato vācāsaṃyyato saṃvṛtendriyo ||	One who controls his hands, controls his feet, controls his speech, controls the mind faculty,
ajjhattarato samāhito eko saṃtuṣito tam āhu bhikkhuṃ |	with inner delight and composure, solitary, content: that one is called a monastic.
śāntakāyo śāntacitto śāntavā susamāhito ||	Calm in body and calm in mind, having calmness and composure,
vāntalokāmiṣo bhikkhū upaśānto ti vuccati |	having thrown off worldly gain the monastic is called one at peace.
yo mukhe saṃyyato bhikkhū mantābhāṣī anuddhato ||	That monastic who restrains the mouth, who speaks well, and who is modest,
atthaṃ dhammañ ca deśeti madhuraṃ tassa bhāṣitaṃ |	who teaches the meaning of the Dhamma, his speech is sweet.
saṃ lābhaṃ nātimaṃñeyā nā ’ṃñesaṃ prihayaṃ care ||	One should not despise one’s own gains, one should not live envious of others,
aṃñesaṃ prihayaṃ bhikkhū samādhin nādhigacchati |	the monastic who is envious of others does not attain concentration.
appalābho pi ce bhikkhū saṃ lābhaṃ nātimaṃñati ||	Even if a monastic gains little he should not despise his gains,
taṃ ve devā praśaṃsanti śuddhājīviṃ atandritaṃ ||	even the very gods praise the one of pure life who is diligent.
siñca bhikkhu imāṃ nāvāṃ sittā te laghu hehiti |	Please bail out this boat, monastic, when bailed out it will go lightly,
hettā rāgañ ca dosaṃ ca tato nibbāṇam ehisi ||	cutting off passion and hatred, from here one will go to Nibbāna.
udāggracitto sumano adhibhūya priyā ’priyaṃ ||	With uplifted mind, happy, having overcome what is dear and not dear,
tato prāmojjabahulo sato bhikkhū parivraje |	then with lots of happiness, the monastic should wander mindfully.
mettāvihārī bhikkhū prasanno buddhaśāsane ||	That monastic who dwells in loving-kindness, with faith in Buddha’s dispensation,
paṭivijjhi padaṃ śāntaṃ saṃkhāropaśamaṃ sukhaṃ |	has penetrated the state of peace, the joy in stilling of all conditions,
dṛṣṭe va dhamme nibbāṇaṃ yogacchemaṃ anuttaraṃ ||	here and now there is Nibbāna, the unsurpassed release from all bonds.
suṃñā ’gāraṃ praviṣṭassa śāntacittassa bhikkhuṇo |	For the one who has entered an empty place, a monastic with a peaceful mind,
amānuṣā ratī hoti sammaṃ dhammaṃ vipaśśato ||	there is superhuman delight from insight into true Dhamma.
yathā yathā sammasati khandhānām udayavyayaṃ |	Just as one with right mindfulness regarding the rise and fall of the components of mind and body
labhate cittassa prāmojjaṃ amatā hetaṃ vijānato ||	gains happiness in mind, this is the deathless state for the one who knows.
nāsti jhānam apraṃñassa praṃñā nāsti ajhāyato |	There is no concentration for one without wisdom, there is no wisdom for one without concentration,
yamhi jhānañ ca praṃñā ca sa ve nibbāṇasantike ||	that one in whom there is concentration and wisdom is indeed close to Nibbāna.
tatthāyam ādī bhavati iha praṃñassa bhikkhuṇo |	This is the very beginning for the wise monastic here:
indriyagottī sāntoṣṭī prātimokkhe ca saṃvaro ||	contentment, guarding the senses, and restraint in the regulations.
mitte bhajetha kallāṇe śuddhājīvī atandrito |	One should resort to spiritual friends, ones of pure life, ones who are diligent,
paṭisandharavaṭṭi ssa ācārakuśalo siyā |	one should be one of friendly disposition, one who will be skilful in conduct,
tato prāmojjabahulo sato bhikkhū parivraje ||	rejoicing frequently because of that, the monastic should wander mindfully.
bhikṣuvarggaḥ	The Chapter about Monastics
yassa accantadośśillaṃ malutā sālam ivo ’tatā |	The one who has an exceeding lack of virtue, like a deadly creeper covering a Sal tree,
karoti so tathāttānaṃ yathā naṃ biṣam icchati ||	makes himself the same as his enemy wishes him to be.
āttanā hi kataṃ pāpaṃ āttajaṃ āttasaṃbhavaṃ |	That wickedness done by oneself, born in oneself, arising in oneself,
anumaṃdhati dummedhaṃ vayiraṃ vā ahmamayaṃ maṇiṃ ||	crushes the one who is stupid, as a diamond crushes a rock-jewel.
āttanā hi kataṃ pāpaṃ āttanā saṃkiliśśati |	By oneself alone is a wicked deed done, by oneself is one defiled,
āttanā akataṃ pāpaṃ āttanā ye viśujjhati |	by oneself is a wicked deed left undone, by oneself is one purified,
śoddhī aśoddhī praccattaṃ nāṃño aṃñaṃ viśodhaye ||	purity and impurity come from oneself, for no one purify another.
na paresaṃ vilomāni na paresaṃ katā ’kataṃ |	Not the wrongs of others, or what others have done or have not done
āttanā ye aveccheyā katāni akatāni ca ||	one should consider, but what has been done and not done by oneself.
na paresaṃ vilomāni na paresaṃ samāsamaṃ |	Not the wrongs of others, or what is just and unjust for others
āttanā ye aveccheyā samāni viṣamāṇi ca ||	one should consider, but what is just and unjust for oneself.
āttānañ ce priyaṃ ñāyyā rakkheyā naṃ surakkhitaṃ |	If one regards oneself as dear one should guard oneself right well,
na etaṃ sulabhaṃ hoti sukhaṃ dukkatakāriṇāṃ ||	for happiness is not easy to gain by those who do wrong.
ttiṇṇam añataraṃ yāmānaṃ paṭijāggreya paṇḍito ||	during one of the three watches of the night the wise one should stay alert.
ekāsanaṃ ekaśeyaṃ ekacariyām atandrito |	Sitting alone, lying down alone, walking alone, diligent,
eko ramayam āttānaṃ vanānte ramitā siyā ||	the solitary one who delights in himself will delight in the edge of a forest.
yo śāsanaṃ arahatāṃ ayirāṇāṃ dhammajīvināṃ |	Whoever reviles the worthy teaching of the Noble Ones who live by Dhamma,
paṭikrośati dummedho dṛṣṭiṃ niśśāya pāpikāṃ |	that stupid one, depending on wicked views,
phalāni kaṇṭakasseva āttaghannāya phallati ||	like the bamboo when it bears fruit, brings about his own destruction.
āttānam eva paṭhamaṃ atthe dhaṃme niveśaye |	First one should establish oneself in the good and the Dhamma,
athāṃñam anuśāseyā evaṃ hohi yathā ahaṃ ||	then one can advise another, saying: ‘You must be as I am’.
āttānam eva paṭhamaṃ paṭirūpe niyojaye |	First one should commit oneself to what is suitable,
athāṃñam anuśāsanto na kiliśśati praṃñavā ||	then when advising another, the wise one should not have any defilement.
āttanā ye tathā kayirā yathāṃñam anuśāsaye |	He should do himself as he would advise another to do,
adānto vata dameyā āttā hi kira duddamo ||	being untrained, he should surely train himself, for it is said the self is difficult to train.
āttā hi bhe varaṃ dānto yacchāyam itarā prajā |	A tamed self is better than that of other people,
āttadāntassa poṣassa sadā saṃyyatacāriṇo ||	for the person who conquers himself, who lives always well-restrained,
neva devā na gandhabbā na māro saha brahmuṇā |	neither gods, nor gandhabbas, nor Māra together with Brahmās,
jitaṃ apajitaṃ kayirā tattharūpassa jantuno ||	can turn conquest into defeat for a person who is like this.
āttā hi āttano nātho ko hi nātho paro siyā |	For the self is the friend of self, for what other friend would there be?
āttanā hi sucinnena nāthaṃ labhati dullabhaṃ ||	When the self is well-practiced, one finds a friend that is hard to find.
āttā hi āttano nātho āttā hi āttano gatī |	Self is the protector of self, self is the refuge of self,
tassā saṃyyamayā ’ttānaṃ aśśaṃ bhadraṃ va vāṇijo ||	therefore one should restrain oneself, as a merchant restrains his noble horse.
āttānam eva damaye aśśasugatiyā sadā |	One should tame oneself always, that will be for a good destiny,
daṃma śaṃma ujjuṃ hohi tato akuṭilo bhava ||	be tamed, be peaceful, be upright, and from that be honest,
tato dānto sukhī hohi anupādāya nivṛto |	then, tamed, be happy, unattached and cooled down.
āttanā codayā ’ttānaṃ parimaśāttānam āttanā |	By oneself one should censure self, by oneself one should be controlled,
so āttagutto satimā sukhaṃ bhikkhū vihāhisi |	he who guards himself, mindful, will live happily, monastic.
āttadātthaṃ parātthena bahunā pi na hāpaye |	One should not neglect one’s own good for another’s, however great;
āttadātthaṃ paraṃ ñāttā sadātthaparamo siyā ||	knowing further what is good for oneself should be the supreme good.
nevāttaheto na parassa heto na saggam icche na dhanaṃ na rāṣṭaṃ |	Not for one’s own sake and not for another’s sake, not desiring heaven, riches, or a kingdom—
necche adhammeṇa samṛddhim āttano so śīlavā praṃñavā dhāṃmiko siyā ||	he should not desire his success through corruption; he should be both virtuous and wise and righteous.
āttavarggaḥ	The Chapter about Self
napuṣpagandho paṭivātam eti na candanaṃ tagaraṃ vāhlikaṃ vā |	The fragrance of flowers goes not against the wind, nor does sandalwood or pinwheel or saffron,
satān tu gandho paṭivātam eti sabbā diśā sappuruṣo pravāti ||	but the fragrance of the good goes against the wind, the true person’s fragrance permeates all directions.
candanaṃ tagaraṃ cāpi uppalaṃ atha vāśśikiṃ |	Sandalwood, pinwheel, then water lily and striped jasmine,
etesāṃ gandhajātānāṃ śīlagandho anuttaro ||	amongst these kinds of fragrance virtue’s fragrance is unsurpassed.
appāmātro ayaṃ gaṃdho yoyaṃ tagaracandane |	Pinwheel and sandalwood fragrance are insignificant,
yo tu śīlavatāṃ gandho vāti devesu uttamo ||	but the fragrance of those who have virtue flutters supreme amongst the gods.
tesāṃ sampannaśīlānāṃ apramādavihāriṇāṃ |	Māra cannot find the path of those endowed with virtue, who live heedfully,
sammadaṃñāvimuttānāṃ māro māggaṃ na viṇḍati ||	and who are freed through right and deep knowledge.
yathā pi ruciraṃ puṣpaṃ vannavantaṃ agandhakaṃ |	Just like a beautiful flower, which has colour, but lacks fragrance,
evaṃ subhāṣitā vācā aphalā hoti akurvvato ||	so are well-spoken words fruitless for the one who acts not on them.
yathā pi ruciraṃ puṣpaṃ vannavantaṃ sagaṃdhakaṃ |	Just like a beautiful flower, which has colour, and has fragrance,
evaṃ subhāṣitā vācā saphalā hoti kurvvato ||	so are well-spoken words fruitful for the one who does act on them.
yathā pi bhramaro puṣpā vannagandham aheḍayaṃ |	Just as a bee, without hurting the flower, its colour or scent,
praḍeti rasam ādāya evaṃ ggrāme munī care ||	gathers its nectar and escapes, so should the seer roam in the village.
puṣpāṇi heva pracinantaṃ vyāsattamanasaṃ naraṃ |	Death takes up and carries away the one whose mind is attached to collecting flowers,
suttaṃ ggrāmaṃ mahogho vā maccu-r-ādāya gacchati ||	like a great flood carries off a sleeping village.
puṣpāṇi heva pracinantaṃ vyāsattamanasaṃ naraṃ |	The End-Maker takes control of the one whose mind is attached to collecting flowers,
asaṃpunnesu kāmesu antako kurute vaśe ||	though he is unfulfilled with sense pleasures.
yathā pi puṣparāśimhā kayirā mālāguṇe bahū |	Just as from a heap of flowers one might make a lot of garlands,
evaṃ jātena māccena kātavvaṃ kuśalaṃ bahuṃ |	so should many good deeds be done by one who is born a mortal.
ko imaṃ paṭhaviṃ vijehiti yamalokaṃ va imaṃ sadevakaṃ |	Who will conquer this earth and the lower realm, together with the gods?
ko dhammapade sudeśite kuśalo puṣpam iva prajehiti |	Who will win the well-taught verses of Dhamma as a good man wins a flower?
śekho paṭhaviṃ vijehiti yamalokaṃ va imaṃ sadevakaṃ |	The trainee will conquer this earth and the lower realm, together with the gods.
so dhammapade sudeśite kuśalo puṣpam iva prajehiti ||	He will win the well-taught verses of Dhamma as a good man wins a flower.
vāśśikī-r-iva puṣpāṇi mañcakāni pramuñcati |	Just as striped jasmine casts off its (…) flowers,
evaṃ rāgañ ca doṣañ ca vipramuñcatha bhikkhavo ||	so, monastics, cast off all passion and hatred.
phenopamaṃ lokam imaṃ vidittā marīcidhammaṃ abhisaṃbudhānāṃ |	Knowing that this world is just like froth, it has the nature of a mirage to those who understand,
chettāna mārassa prapuṣpakāni addaṃśanaṃ maccurājassa gacche ||	cutting off Māra’s flower-tipped arrows, one should go beyond the King of Death’s sight.
yathā saṃkārakūṭamhi ujjhitamhi mahāpathe |	Just as in a forsaken rubbish heap along the highway
padumaṃ ubbhidaṃ assa śucigandhaṃ manoramaṃ ||	a lotus might spring forth, with a pure fragrance, delighting the mind,
evaṃ saṃkārabhūtesu andhabhūte pṛthujjane |	so amongst the forsaken, the Perfect Sambuddha’s disciple
atirocanti praṃñāya saṃmāsabuddhasāvakā ||	outshines the blind and ordinary folk through his wisdom.
puṣpavarggaḥ	The Chapter about Flowers
atthesu jātesusukhā sakhāyā puṃñaṃ sukhaṃjīvitasaṃkhayamhi |	Friends are good whenever need arises, at the break-up of life merit is good,
toṣṭī sukhā yā itarītarena sabbassa pāpassa sukhaṃ prahāṇaṃ ||	being content with everything is good, the abandoning of all wickedness is good.
sukhā mātreatā loke tato petteatā sukhā |	Respecting one’s mother is good in the world, also respecting one’s father is good,
śāmannatā sukhā loke tato brāhmannatā sukhā ||	respecting ascetics is good in the world, also respecting true brahmins is good.
sukhaṃ yāvaj jarā śīlaṃ sukhā śraddhā pratiṣṭhitā |	Virtuous conduct till old age is good, the establishing of faith is good,
sukhā attharasā vācā assiṃ mānakkhayo sukho ||	speech that is beneficial is good, the destruction of conceit is good.
sukho buddhāna uppādo sukhā dhammassa deśanā |	The arising of the Buddhas is good, the teaching of the Dhamma is good,
sukhā saṃghassa sāmaggrī samaggrāṇāṃ tapo sukho ||	the harmony of the Saṅgha is good, devotion to harmony is good.
sukhaṃ daṃśanam ayirāṇāṃ saṃvāso pi satāṃ sukho |	Meeting with the noble is pleasant, living with good people is pleasant,
addaṃśanena bālānāṃ niccam eva sukhī siyā ||	through not meeting foolish people one will constantly be happy.
bālāsaṅgatacārī hi drīgham addhāna śocati |	For he who consorts with fools grieves for a long time,
dukkho bālehi saṃvāso amittehi-r-iva sabbadā |	dwelling with fools is always suffering as it is with enemies,
dhīrā tu sukhasaṃvāsā ñātīnaṃ vā samāgamo ||	the wise ones dwell happily as with an assembly of kin.
tassā hi dhīraṃ ca bahuśśutañ ca dhoreyaśīlavratamantam ayiraṃ |	Therefore the firm and the learned, the virtuous, dutiful and noble—
taṃ tārisaṃ sappuruṣaṃ sumedhaṃ sevetha nakkhattapathe va candramā ||	follow such a true and intelligent person as the moon follows the course of the stars.
priyāto jāyate dukkhaṃ priyā śokā priyā bhayaṃ |	From love there arises grief, with love grief, with love fear,
priyāto vipramuttassa nāsti śokā kato bhayaṃ ||	for one who is free from love there is no grief, how is there fear?
mā priyehi samāgaṃma apriyehi kadācanaṃ |	Do not associate at any time with those who are loved or with those unloved,
priyassa addaṃśanaṃ dukkhaṃ apriyassa ca daṃśanaṃ ||	there is suffering not meeting the loved one, and suffering from meeting the unloved one.
tassā priyaṃ na kayirātha priyāvādo hi pāpako |	Therefore do not hold anything as loved, for speaking of the loved is loathsome.
ggraṃthā tesaṃ na vijjanti yesaṃ nāsti priyāpriyaṃ ||	There are no knots for those who hold nothing as loved or as unloved.
chudhā parama rogāṇāṃ saṃkhāraparamaṃ dukhaṃ |	Hunger is the supreme sickness, conditions are the supreme suffering,
etaṃ ñāttā yathābhūtaṃ nibbāṇaparamaṃ sukhaṃ ||	knowing this as it really is, know Nibbāna is the supreme good.
āroggaparamā lābhā sāṃtoṣṭīparamaṃ dhanaṃ |	Health is the supreme gain, content the supreme wealth,
viśśāsaparamā ñātī nibbāṇaparamaṃ sukhaṃ ||	confidence the supreme kin, Nibbāna the supreme good.
māttāsukhapariccāgā paśśe ce vipulāṃ sukhaṃ |	If, by renouncing a small good, he might see a good that is large,
caje māttāsukhaṃ dhīro saṃpaśśaṃ vipulāṃ sukham ||	the wise one should renounce that small good, seeing the good that is extensive.
manujassa sadā satīmato māttaṃ jāniya laddhibhojane |	For a human who is always mindful, knowing the measure in food received,
tanukā ’ssa bhavanti vedanā śanikaṃ jīrati āyu pālayaṃ ||	his painful feelings become slight, he ages slowly, guarding his lifespan.
dullabho puruṣājaṃño na so sabbattha jāyati |	A person of good breed is rare, that one is not born everywhere,
yattha so jāyate vīro taṃ kulaṃ sukham edhati ||	wherever that hero is born, that family gains happiness.
sabbattha ve sappuruṣā bhavanti na kāmakāmā lapayanti santo |	There are surely true people everywhere, the good do not talk of desiring sense-pleasures;
sukhena phuṭṭhā uttavā dukhena noccāvacaṃ sappuruṣā karonti ||	when touched by pleasure or by suffering, true people are not elated or depressed.
jayaṃ veraṃ prasavati dukkhaṃ śeti parājito |	The victor generates hatred, the defeated one finds suffering,
upaśānto sukhaṃ śeti hettā jayaparājayaṃ ||	the one at peace lives happily, having abandoned victory and defeat.
sukhā najjo sūpatitthā sukho dhammajito jano |	Pleasant are rivers with good fords, pleasant is the person conquered by Dhamma,
sukho śraddhapaṭīlābho pāpassa akaraṇaṃ sukhaṃ ||	the acquisition of faith is good, doing nothing wicked is good.
sukhaṃ draṣṭuṃ śīlavanto sukhaṃ draṣṭuṃ bahuśśutā |	It is pleasant to meet the virtuous, it is pleasant to meet the learned,
arahanto pi sukhaṃ draṣṭuṃ vipramuttā niropadhī ||	it is pleasant to meet the Worthy Ones, who are free from attachments.
atthavarggaḥ	The Chapter about Need
phandanaṃ capalaṃ cittaṃ durakkhaṃ dunnivārayaṃ |	An agitated, unsteady mind, difficult to guard, difficult to ward,
ujjuṃ karoti medhāvī uṣukāro va tejanā ||	the sagacious one makes straight, as a fletcher does his arrows.
vārijo va thale khitto okamokātu ubbhato |	Like a fish thrown up on dry land, pulled out from its watery home,
pariphandatimaṃ cittaṃ māradheyaṃ prahātaye ||	the mind is agitated, one ought to throw off the sway of Māra.
dūraṃgamaṃ ekacaraṃ aśarīraṃ guhāśayaṃ |	Those who will restrain the mind that roams far,
ye cittaṃ saṃyyamehinti mokkhaṃte mārabaṃdhanā ||	is lonesome, without a body, hidden, gain release from the bonds of Māra.
dunniggrahassa laghuno yatthakāmanipātino |	For the mind that is difficult to subdue, flighty, flitting wherever it will,
cittassa damatho sādhu cittaṃ dāntaṃ sukhāvahaṃ ||	restraint is good, a restrained mind brings happiness.
sududdaśaṃ sunipuṇaṃ yatthakāmanipātinaṃ |	Hard to see, very subtle, flitting wherever it will,
cittaṃ rakkheya medhāvī tadahi guttaṃ sukhāvahaṃ ||	the sage should guard the mind, for guarded it brings happiness.
anaprāśrayamāṇassa ananvāhatacetaso |	For the one with mind that is not dependent, for the one with mind unperplexed,
hettā kallāṇapāpāni nāsti jāgarato bhayaṃ ||	having abandoned the wholesome and demerit, for the watchful, there is no fear.
dhammaprītirasaṃ pāttā viprasannena cetasā |	The one who drinks the tasty Dhamma drink, with a clear mind,
ayirapravedite dhamme sadā ramati paṇḍito ||	the wise one will always delight in the Dhamma that is made known by the Noble.
acirā vata ayaṃ kāyo paṭhaviṃ abhiśehiti |	Before long has passed by, alas, this body will lie on the ground,
chūḍo apetaviṃnyāṇo nirātthaṃ vā kaṭiṃgaraṃ ||	rejected, without consciousness, just like a useless piece of wood.
kuṃbhopamaṃ kāyam imaṃ vidittā nagaropamaṃ cittam adhiṣṭhihittā |	Knowing this body is frail like a jar, govern the mind like a fortress,
yodheya māraṃ praṃñāyudhena jitaṃ ca rakkhe aniveśano siyā ||	one should fight Māra with the weapon of wisdom, guard your success, and do not be attached.
yathā agāraṃ ducchannaṃ vaṭṭhī samitivijjhati |	Just as the rain penetrates a house with thatching that is poor,
evaṃ abhāvitaṃ cittaṃ rāgo samitivijjhati ||	so passion penetrates a mind that is undeveloped.
yathā agāraṃ succhannaṃ vaṭṭhī na samitivijjhati |	Just as rain does not penetrate a house with thatching that is good,
evaṃ subhāvitaṃ cittaṃ rāgo na samitivijjhati ||	so passion cannot penetrate a mind that is well-developed.
evaṃ abhāvitaṃ cittaṃ doṣo samitivijjhati ||	so hatred penetrates a mind that is undeveloped.
evaṃ subhāvitaṃ cittaṃ doṣo na samitivijjhati ||	so hatred cannot penetrate a mind that is well-developed.
evaṃ abhāvitaṃ cittaṃ moho samitivijjhati ||	so delusion penetrates a mind that is undeveloped.
evaṃ subhāvitaṃ cittaṃ moho na samitivijjhati ||	so delusion cannot penetrate a mind that is well-developed.
sabbapāpassa akaraṇaṃ kuśalassa apasaṃpadā |	The non-doing of anything wicked, undertaking of what is good,
sacittapariyodamanaṃ etaṃ buddhāna śāsanaṃ ||	the training of one’s mind—this is the teaching of the Buddhas.
cittavarggaḥ	The Chapter about the Mind
21. sahasra	21. The Chapter about Thousands
sahasram api ce vācā anatthapadasāhitā |	Though there are a thousand sayings consisting of useless words,
ekaṃ atthapadaṃ śreyo yaṃ śottā upaśāṃmati ||	better is one useful word, hearing which one is brought to peace.
yo ca gāthāśataṃ bhāṣe anatthapadasāhitaṃ |	One may speak a thousand verses consisting of useless words,
ekaṃ dhamapadaṃ śreyo yaṃ śottā upaśāṃmati ||	better is one verse of Dhamma, hearing which one is brought to peace.
yo sahasraṃ sahasrāṇāṃ saṃggrāme mānuṣe jine |	One may conquer a thousand men a thousand times in a battle,
ekaṃ ca paṃñam āttānaṃ sa ve saṃggrāmamuttamo ||	but having conquered another, one’s self, one would surely be supreme in battle.
māse māse sahasreṇa yo yajeya śataṃ samā |	One might give alms impartially with a thousand coins of money month by month for a hundred years;
ekañ ca bhāvitāttānaṃ muhuttam api pūjaye |	and one might worship someone with developed self for a second—
sā eva pūjanā śreyo yac cha vaśśaśataṃ hutaṃ ||	that worship is surely better than the hundred-year sacrifice.
yo ca vaśśaśataṃ jantū aggiṃ paricare vane |	One person might care for the fire in the woods for a hundred years;
yaṃ kiñci yaṣṭaṃ va hutaṃ va loke saṃvatsaraṃ yajate puṃñapekhī |	Whatever the alms or the sacrifice in the world the one seeking merit may give for a year,
sabbaṃ pi taṃ na catubbhāgam eti abhivādanā ujjugatesu śreyo ||	all that comes not to a quarter of the merit—better is the worship of the upright.
na taṃ buddhe prasādassa kalām agghati ṣoḍaśiṃ ||	but that is not worth a sixteenth part of having confidence in the Buddha.
na taṃ dhamme prasādassa kalām agghati ṣoḍaśiṃ ||	but that is not worth a sixteenth part of having confidence in the Dhamma.
na taṃ saṃghe prasādassa kalām agghati ṣoḍaśiṃ ||	but that is not worth a sixteenth part of having confidence in the Saṅgha.
na taṃ sākhātadhaṃmāṇāṃ kalām agghati ṣoḍaśiṃ ||	but that is not worth a sixteenth part of those who have mastered Dhamma.
māse māse kuśāggreṇa bālo bhuñjeya bhojanaṃ |	From month to month the fool may eat food with the tip of kusa grass,
yo ca vaśśaśataṃ jīve duśśīlo asamāhito |	One might live for a hundred years, unvirtuous and uncomposed,
ekāhaṃ jīvitaṃ śreyo śīlavantassa jhāyato ||	but a life of one day is better, for one with virtue and meditation.
yo ca vaśśaśataṃ jīve dupraṃño asamāhito |	One might live for a hundred years, lacking in wisdom and uncomposed,
ekāhaṃ jīvitaṃ śreyo praṃñavantassa jhāyato ||	but a life of one day is better, for one endowed with wisdom and meditation.
yo ca vaśśaśataṃ jīve kusīdo hīnavīriyo |	One might live for a hundred years, indolent, with less energy,
ekāhaṃ jīvitaṃ śreyo vīryyam ārabhato dṛḍaṃ ||	but a life of one day is better, for one with energy set up and firm.
yo ca vaśśaśataṃ jīve apaśśaṃ udayavyayaṃ |	One might live for a hundred years, without seeing rise and fall,
ekāhaṃ jīvitaṃ śreyo paśśato udayavyayaṃ ||	but a life of one day is better, for the one seeing rise and fall.
yo ca vaśśaśataṃ jīve apaśśaṃ dhammam uttamaṃ |	One might live for a hundred years, without seeing the supreme state,
ekā ’haṃ jīvitaṃ śreyo paśśato dhammam uttamaṃ ||	but a life of one day is better, for one seeing the supreme state.
yo ca vaśśasataṃ jīve apaśśaṃ amataṃ padaṃ |	One might live for a hundred years, without seeing the deathless state,
ekā ’haṃ jīvitaṃ śreyo paśśato amataṃ padaṃ ||	but a life of one day is better, for one seeing the deathless state.
yo ca vaśśasataṃ jīve saddhaṃme apratiṣṭhito |	One might live for a hundred years, unestablished in the True Dhamma,
ekā ’haṃ jīvitaṃ śreyo sadhaṃmam iha vijānato ||	but a life of one day is better, for one who knows the True Dhamma.
yo ca vaśśasataṃ jīve aprāpya āsavakkhayaṃ |	One might live for a hundred years, having not attained the destruction of the pollutants,
ekā ’haṃ jīvitaṃ śreyo prāpyato āsavakkhayaṃ ||	but a life of one day is better, for one who has attained the destruction of the pollutants.
sahasravarggaḥ	The Chapter about the Thousands
siddhaṃ namaḥ sarvvabuddhadharmmāryyasaṅghebhyaḥ	Hail and Homage to all Buddhas, Dharmas and the Noble Saṅghas.
manopūrvvaṃgamā dhammā manośreṣṭhā manojavā |	Mind precedes thoughts, mind is their chief, they are impelled by mind,
manasā ca praduṣṭena bhāṣate vā karoti vā |	if with a base mind one speaks or acts,
tato naṃ dukham anneti cakram vā vahato padaṃ ||	through that, suffering follows him like a wheel follows the ox’s foot.
manasā ca prasannena bhāṣate vā karoti vā |	if with pure mind one speaks or acts,
tato naṃ sukham anneti cchāyā vā anapāyinī ||	through that, happiness follows him like a shadow which does not depart.
iha śocati precca śocati pāpakammo ubhayattha śocati |	Here he laments, after death he laments, the wicked one laments in both places,
so śocati so vihaṃnyati dṛṣṭā kammakileśam āttano ||	he laments, he suffers vexation, seeing the defilement of his own deeds.
iha nandati precca nandati katapuṃño ubhayattha nandati |	Here he is happy, after death he is happy, the meritorious one is happy in both places,
so nandati dati dṛṣṭā kammaviśuddhim āttano ||	he is happy… seeing the purity of his own deeds.
ākrośi maṃ avadhi maṃ ajini maṃ ahāsi me |	“He abused me, he struck at me, he overcame me, he robbed me,”
ye tāni upanahyanti veraṃ tesaṃ na śāmyati ||	those who bear these ill-will their hatred is never appeased.
ye tāni nopanahyanti veraṃ tesaṃ upaśāmyati ||	those who do not bear these ill-will their hatred is appeased.
śubhā ’nupaśśiṃ viharantaṃ indriyesu asaṃvṛtaṃ |	Living contemplating what is pleasant, uncontrolled in sense faculties,
bhojanamhi amāttaṃñū kuśīdaṃ hīnavīriyaṃ ||	not knowing the limit in food, indolent, low in energy—
taṃ ve prasahate māro vāto rukkham va dubbalaṃ |	Māra surely overthrows that one, like wind overthrows a weak tree.
aśubhānupaśśiṃ viharantaṃ indriyeṣu susaṃvṛtaṃ ||	Living contemplating the unpleasant, well-controlled in sense faculties,
bhojanamhi ca māttraṃñū saddhaṃ āraddhavīriyaṃ |	and knowing the limit in food, faithful, with energy aroused—
taṃ ve na prasahate māro vāto śelaṃ va parvvataṃ ||	Māra does not overthrow that one, just as wind does not overthrow a mountain made of rock.
