yaḥ soma sakhye tava raraṇat deva martyaḥ tam dakṣaḥ sacate kavi ḥ	O Soma, God, the mortal man who in thy friendship hath delight, Him doth the mighty Sage befriend.
yāvayat dveṣasam tvā cikitvit sūnr̥tāvari prati stomaiḥ abhutsmahi	Thinking of thee, O joyous One, as her who driveth hate away, We woke to meet thee with our lauds.
prati bhadrāḥ adr̥kṣata gavām sargāḥ na raśmayaḥ ā uṣāḥ aprāḥ uru jrayaḥ	Our eyes behold thy blessed rays like troops of cattle loosed to feed. Dawn hath filled full the wide expanse.
āpapruṣī vibhāvari vi āvaḥ jyotiṣā tamaḥ uṣaḥ anu svadhām ava	When thou hast filled it, Fulgent One! thou layest bare the gloom with light. After thy nature aid us, Dawn.
ā dyām tanoṣi raśmi bhiḥ ā antarikṣam uru priyam uṣaḥ śukreṇa śociṣā	Thou overspreadest heaven with rays, the dear wide region of mid-air. With thy bright shining lustre, Dawn.
tat devasya savituḥ vāryam mahat vr̥ṇīmahe asurasya pracetasaḥ chardiḥ yena dāśuṣe yacchati tmanā tat naḥ mahān ut ayān devaḥ aktu bhiḥ	OF Savitar the God, the sapient Asura, we crave this great gift which is worthy of our choice, Wherewith he freely grants his worshiper defence. This with his rays the Great God hath vouchsafed to us.
divaḥ dhartā bhuvanasya prajāpatiḥ piśaṅgam drāpim prati muñcate kaviḥ vi cakṣaṇaḥ prathayan āpr̥ṇan uru ajījanat savitā sumnam ukthyam	Sustainer of the heaven, Lord of the whole world's life, the Sage, he putteth on his golden-coloured mail. Clear-sighted, spreading far, filling the spacious realm, Savitar hath brought forth bliss that deserveth laud.
ā aprāḥ rajāṁsi divyāni pārthivā ślokam devaḥ kr̥ṇute svāya dharmaṇe pra bāhū iti asrāk savitā savīmani ni veśayan pra suvan aktu bhiḥ jagat	He hath filled full the regions of the heaven and earth: the God for his own strengthening waketh up the hymn. Savitar hath stretched out his arms to cherish life, producing with his rays and lulling all that moves.
adābhyaḥ bhuvanāni pra cākaśat vratāni devaḥ savitā abhi rakṣate pra asrāk bāhū iti bhuvanasya pra jābhyaḥ dhr̥ta vrataḥ mahaḥ ajmasya rājati	Lighting all living creatures, neer to be deceived, Savitar, God, protects each holy ordinance. He hath stretched out his arms to all the folk of earth, and, with his laws observed, rules his own mighty course.
triḥ antarikṣam savitā mahi tvanā trī rajāṁsi pari bhūḥ trīṇi rocanā tisraḥ divaḥ pr̥thivīḥ tisraḥ invati tri bhiḥ vrataiḥ abhi naḥ rakṣati tmanā	Savitar thrice surrounding with his mightiness mid-air, three regions, and the triple sphere of light, Sets the three heavens in motion and the threefold earth, and willingly protects us with his triple law.
br̥hat sumnaḥ pra savitā ni veśanaḥ jagataḥ sthātuḥ ubhayasya yaḥ vaśī saḥ naḥ devaḥ savitā śarma yacchatu asme iti kṣayāya tri varūtham aṁhasaḥ	Most gracious God, who brings to life and lulls to rest, he who controls the world, what moves not and what moves, May he vouchsafe us shelter, -Savitar the God,– for tranquil life, with triple bar against distress.
ā agan devaḥ r̥tu bhiḥ vardhatu kṣayam dadhātu naḥ savitā su prajām iṣam saḥ naḥ kṣapābhiḥ aha bhiḥ ca jinvatu prajāvantam rayim asme iti sam invatu	With the year's seasons hath Savitar, God, come nigh: may he prosper our home, give food and noble sons. May he invigorate us through the days and nights, and may he send us opulence with progeny.
abhūt devaḥ savitā vandyaḥ nu naḥ idānīm ahnaḥ upa vācyaḥ nr̥ bhiḥ vi yaḥ ratnā bhajati mānavebhyaḥ śreṣṭham naḥ atra draviṇam yathā dadhat	Now must we praise and honour Savitar the God: at this time of the day the men must call to him, Him who distributes wealth to Manu's progeny, that he may grant us here riches most excellent.
devebhyaḥ hi prathamam yajñiyebhyaḥ amr̥ta tvam suvasi bhāgam ut tamam āt it dāmānam savitaḥ vi ūrṇuṣe anūcīnā jīvitā mānuṣebhyaḥ	For thou at first producest for the holy Gods the noblest of all portions, immor-tality: Thereafter as a gift to men, O Savitar, thou openest existence, life succeeding life.
acittī yat cakr̥ma daivye jane dīnaiḥ dakṣaḥ pra bhūtī puruṣatvatā deveṣu ca savitaḥ mānuṣeṣu ca tvam naḥ atra suvatāt anāgasaḥ	If we, men as we are, have sinned against the Gods through want of thought, in weakness, or through insolence, Absolve us from the guilt and make us free from sin, O Savitar, alike among both Gods and men.
na pra miye savituḥ daivyasya tat yathā viśvam bhuvanam dhārayiṣyati yat pr̥thivyāḥ variman ā su aṅguriḥ varṣman divaḥ suvati satyam asya tat	None may impede that power of Savitar the God whereby he will maintain the universal world. What the fair-fingered God brings forth on earth's expanse or in the heightof heaven, that work of his stands sure.
indra jyeṣṭhān br̥hat bhyaḥ parvatebhyaḥ kṣayān ebhyaḥ suvasi pastya vataḥ yathāyathā patayantaḥ vi yemire eva eva tasthuḥ savitariti savāya te	To lofty hills thou sendest those whom Indra leads, and givest fixed abodes with houses unto these. However they may fly and draw themselves apart, still, Savitar, they stand obeying thy behest.
ye te triḥ ahan savitariti savāsaḥ dive dive saubhagam āsuvanti indraḥ dyāvāpr̥thivī iti sindhuḥ at bhiḥ ādityaiḥ naḥ aditiḥ śarma yaṁsat	May the libations poured to thee thrice daily, day after day, O Savitar, bring us blessing. May Indra, Heaven, Earth, Sindhu with the Waters, Aditi with Âdityas, give us shelter.
kaḥ vaḥ trātā vasavaḥ kaḥ varūtā dyāvābhūmī iti adite trāsīthām naḥ sahīyasaḥ varuṇa mitra martāt kaḥ vaḥ adhvare varivaḥ dhāti devāḥ	WHO of you, Vasus, saveth? who protecteth? O Heaven and Earth and Aditi, preserve us, Varuṇa., Mitra, from the stronger mortal. Gods, which of you at sacrifice giveth comfort?
pra ye dhāmāni pūrvyāṇi arcān vi yat ucchān vi yotāraḥ amūrāḥ vi dhātāraḥ vi te dadhuḥ ajasrāḥ r̥ta dhītayaḥ rurucanta dasmāḥ	They who with laud extol the ancient statutes, when they shine forth infallible dividers, Have ordered as perpetual Ordainers, and beamed as holy-thoughted WonderWorkers.
pra pastyām aditim sindhum arkaiḥ svastim īl̥e sakhyāya devīm ubhe iti yathā naḥ ahanī iti ni pātaḥ uṣasānaktā karatām adabdheiti	The Housewife Goddess, Aditi, and Sindhu, the Goddess Svasti I implore for friendship: And may the unobstructed Night and Morning both, day and night, provide for our protection.
vi aryamā varuṇaḥ ceti panthām iṣaḥ patiḥ suvitam gātum agniḥ indrāviṣṇūiti nr̥ vat oṁ iti su stavānā śarma naḥ yantam ama vat varūtham	Aryaman, Varuṇa have disclosed the pathway, Agni as Lord of Strength the road to welfare. Lauded in manly mode may Indra-Vishṇu grant us their powerful defence and shelter.
ā parvatasya marutām avāṁsi devasya trātuḥ avri bhagasya pāt patiḥ janyāt aṁhasaḥ naḥ mitraḥ mitriyāt uta naḥ uruṣyet	I have besought the favourof the Maruts, of Parvata, of Bhaga God who rescues. From trouble caused by man the Lord preserve us; from woe sent by his friend let Mitra save us.
iti ahinā budhnyena stuvīta devī iti api ebhiḥ iṣṭaiḥ samudram na sam caraṇe saniṣyavaḥ gharma svarasaḥ nadyaḥ apa vran	Agree, through these our watery oblations, Goddesses, Heaven and Earth, with Ahibudhnya. As if to win the sea, the Gharma-heaters have opened, as they come anear, the rivers.
devaiḥ naḥ devī aditiḥ ni pātu devaḥ trātā trāyatām apra yucchan nahi mitrasya varuṇasya dhāsim arhāmasi pra miyam sānu agneḥ	May Goddess Aditi with Gods defend us, save us the saviour God with care unceasing. We dare not stint the sacred food of Mitra and Varuṇa upon the back of Agni.
agniḥ īśe vasavyasya agniḥ mahaḥ saubhagasya tāni asmabhyam rāsate	Agni is Sovran Lord of wealth, Agni of great prosperity: May he bestow these gifts on us.
uṣaḥ maghoni ā vaha sūnr̥te vāryā puru asmabhyam vājinī vati	Hither to us, rich pleasant Dawn, bring many things to be desired, Thou who hast ample store of wealth.
tat su naḥ savitā bhagaḥ varuṇaḥ mitraḥ aryamā indraḥ naḥ rādhasā ā gamat	So then may Bhaga, Savitar, Varuṇa, Mitra, Aryaman, Indra, with bounty come to us.
mahī dyāvāpr̥thivī iti iha jyeṣṭheiti rucā bhavatām śucayat bhiḥ arkaiḥ yat sīm variṣṭheiti br̥hatī iti vi minvan ruvat ha ukṣā paprathānebhiḥ evaiḥ	MAY mighty Heaven and Earth, most meet for honour, be present here with light and gleaming splendours; When, fixing them apart, vast, most extensive, the Steer roars loudly in far-reaching courses.
iti śucayat bhiḥ arkaiḥ	The Goddesses with Gods, holy with holy, the Two stand pouring out their rain, exhaustless: Faithful and guileless, having Gods for children, leaders of sacrifice with shining splendours.
saḥ it su apāḥ bhuvaneṣu āsa yaḥ ime iti dyāvāpr̥thivī iti jajāna urvī iti gabhīre iti rajasī iti sumeke itisu meke avaṁśe dhīraḥ śacyā sam airat	Sure in the worlds he was a skilful Craftsman, he who produced these Twain the Earth and Heaven. Wise, with his power he brought both realms, together spacious and deep, wellfashioned, unsupported.
nu rodasī iti br̥hat bhiḥ naḥ varūthaiḥ patnīvat bhiḥ iṣayantī iti sa joṣāḥ urūcī iti viśveiti yājate iti ni pātam dhiyā syāma rathyaḥ sadāsāḥ	O Heaven and Earth, with one accord promoting, with high protection as of Queens, our welfare, Far-reaching, universal, holy, guard us. May we, car-borne, through song be victors ever.
pra vām mahi dyavī iti abhi upa stutim bharāmahe śucī iti upa pra śastaye	To both of you, O Heaven and Earth, we bring our lofty song of praise, Pure Ones! to glorify you both.
punāne iti tanvā mithaḥ svena dakṣeṇa rājathaḥ ūhyātheiti sanāt r̥tam	Ye sanctify each other's form, by your own proper might ye rule, And from of old observe the Law.
mahī iti mitrasya sādhathaḥ tarantī iti pipratī iti r̥tam pari yajñam ni sedathuḥ	Furthering and fulfilling, ye, O Mighty, perfect Mitra's Law. Ye sit around our sacrifice.
kṣetrasya patinā vayam hitena iva jayāmasi gām asvam poṣayitnu ā saḥ naḥ mr̥l̥āti īdr̥śe	WE through the Master of the Field, even as through a friend, obtain What nourisheth our kine and steeds. In such may he be good to us.
kṣetrasya pate madhu mantam ūrmim dhenuḥ iva payaḥ asmāsu dhukṣva madhu ścutam ghr̥tam iva su pāūtam r̥tasya naḥ patayaḥ mr̥l̥ayantu	As the cow yieldeth milk, pour for us freely, Lord of the Field, the wave that beareth sweetness, Distilling meath, well-purified like butter, and let the. Lords of holy Law be gracious.
madhu matīḥ oṣadhīḥ dyāvaḥ āpaḥ madhu mat naḥ bhavatu antarikṣam kṣetrasya patiḥ madhu mān naḥ astu ariṣyantaḥ anu enam carema	Sweet be the plants for us. the heavens, the waters, and full of sweets for us be air's mid-region. May the Field's Lord for us be full of sweetness, and may we follow after him uninjured.
śunam varatrāḥ badhyantām śunam aṣṭrām ut iṅgaya	Happily work our steers and men, may the plough furrow happily. Happily be the traces bound; happily may he ply the goad.
śunāsīrau imām vācam juṣethām yat divi cakrathuḥ payaḥ tena imām upa siñcatam	Ṣuna and Sîra, welcome ye this laud, and with the milk which ye have made in heaven Bedew ye both this earth of ours.
arvācī su bhage bhava sīte vandāmahe tvā yathā naḥ su bhagā asasi yathā naḥ suphalā asasi	Auspicious Sita, come thou near: we venerate and worship thee That thou mayst bless and prosper us and bring us fruits abundantly.
indraḥ sītām ni gr̥hṇātu tām pūṣā anu yacchatu sā naḥ payasvatī duhām uttarām uttarām samām	May Indra press the furrow down, may Pûshan guide its course aright. May she, as rich in milk, be drained for us through each succeeding year.
śunam naḥ phālāḥ vi kr̥ṣantu bhūmim śunam kīnāśāḥ abhi yantu vāhaiḥ śunam parjanyaḥ madhunā payaḥ bhiḥ śunāsīrā śunam asmāsu dhattam	Happily let the shares turn up the ploughland, happily go the ploughers with the oxen. With meath and milk Parjanya make us happy. Grant us prosperity, Ṣuna and Sîra.
samudrāt ūrmiḥ madhu mān ut ārat upa aṁśunā sam amr̥ta tvam ānaṭ ghr̥tasya nāma guhyam yat asti jihvā devānām amr̥tasya nābhiḥ	FORTH from the ocean sprang the wave of sweetness: together with the stalk it turned to Amrit, That which is holy oil's mysterious title: but the Gods' tongue is truly Amrit's centre.
vayam nāma pra braāma ghr̥tasya asmin yajñe dhārayāma namaḥ bhiḥ upa brahmā śr̥ṇavat śasyamānam catuḥ śr̥ṅgaḥ avamīt gauraḥ etat	Let us declare aloud the name of Ghr̥ita, and at this sacrifice hold it up with homage. So let the Brahman hear the praise we utter. This hath the four-horned Buffalo emitted.
catvāri śr̥ṅgā trayaḥ asya pādāḥ dve iti śīrṣe iti sapta hastāsaḥ asya tridhā baddhaḥ vr̥ṣabhaḥ roravīti mahaḥ devaḥ martyān ā viveśa	Four are his horns, three are the feet that bear him; his heads are two, his hands are seven in number. Bound with a triple bond the Steer roars loudly: the mighty God hath entered in to mortals.
tridhā hitam paṇi bhiḥ guhyamānam gavi devāsaḥ ghr̥tam anu avindan indraḥ ekam sūryaḥ ekam jajāna venāt ekam svadhayā niḥ tatakṣuḥ	That oil in triple shape the Gods discovered laid down within the Cow, concealed by Paṇis. Indra produced one shape, Sûrya another: by their own power they formed the third from Vena.
etāḥ arṣanti hr̥dyāt samudrāt śata vrajāḥ ripuṇā na ava cakṣe ghr̥tasya dhārāḥ abhi cākasīmi hiraṇyayaḥ vetasaḥ madhye āsām	From inmost reservoir in countless channels flow down these rivers which the foe beholds not. I look upon the streams of oil descending, and lo! the Golden Reed is there among them.
samyak sravanti saritaḥ na dhenāḥ antaḥ hr̥dā manasā pūyamānāḥ ete arṣanti ūrmayaḥ ghr̥tasya mr̥gāḥ iva kṣipaṇoḥ īṣamāṇāḥ	Like rivers our libations flow together, cleansing themselves in inmost heart and spirit. The streams of holy oil pour swiftly downward like the wild beasts that fly before the bowman.
sindhoḥ iva pra adhvane śūghanāsaḥ vāta pramiyaḥ patayanti yahvāḥ ghr̥tasya dhārāḥ aruṣaḥ na vājī kāṣṭhāḥ bhindan ūrmibhiḥ pinvamānaḥ	As rushing down the rapids of a river, flow swifter than the wind the vigorous currents, The streams of oil in swelling fluctuation like a red courser bursting through the fences.
abhi pravanta samanāiva yoṣāḥ kalyāṇyaḥ smayamānāsaḥ agnim ghr̥tasya dhārāḥ sam idhaḥ nasanta tāḥ juṣāṇaḥ haryati jāta vedāḥ	Like women at a gathering fair to look on and gently smiling, they incline to Agni. The streams of holy oil attain the fuel, and Jâtavedas joyfully receives them.
kanyāḥ iva vahatum etavai oṁ iti añji añjānāḥ abhi cākaśīmi yatra somaḥ sūyate yatra yajñaḥ ghr̥tasya dhārāḥ abhi tat pavante	As maidens dock themselves with gay adornment to join the bridal feast, I now behold them. Where Soma flows and sacrifice is ready, thither the streams of holy oil are running.
abhi arṣata su stutim gavyam ājim asmāsu bhadrā draviṇāni dhatta imam yajñam nayata devatā naḥ ghr̥tasya dhārāḥ madhu mat pavante	Send to our eulogy a herd of cattle bestow upon us excellent possessions. Bear to the Gods the sacrifice we offer the streams of oil flow pure and full of sweetness.
dhāman te viśvam bhuvanam adhi śritam antariti samudre hr̥di antaḥ āyuṣi apām anīke sam ithe yaḥ ābhr̥taḥ tam aśyāma madhu mantam te ūrmim	The universe depends upon thy power and might within the sea, within the heart, within all life. May we attain that sweetly-flavoured wave of thine, brought, at its gathering, o'er the surfaceof the floods.
abodhi agniḥ sam idhā janānām prati dhenum iva āyatīm uṣasam yahvāḥ iva pra vayām ut jihānāḥ pra bhānavaḥ sisrate nākam accha	Agni is wakened by the people's fuel to meet the Dawn who cometh like a milch-cow. Like young trees shooting up on high their branches, his flames are rising to the vault of heaven.
abodhi hotā yajathāya devān ūrdhvaḥ agniḥ su manāḥ prātaḥ asthāt sam iddhasya ruśat adarśi pājaḥ mahān devaḥ tamasaḥ niḥ amoci	For worship of the Gods the Priest was wakened: at morning gracious Agni hath arisen. Kindled, his radiant might is made apparent, and the great Deity set free from darkness.
yat īm gaṇasya raśanām ajīgariti śuciḥ aṅkte śuci bhiḥ go bhiḥ agniḥ āt dakṣiṇā yujyate vāja yantī uttānām ūrdhvaḥ adhayat juhūbhiḥ	When he hath stirred the line of his attendants, with the pure milk pure Agni is anointed. The strength-bestowing gift is then made ready, which spread in front, with tongues, erect, he drinketh.
agnim accha deva yatām manāṁsi cakṣūṁṣī iva sūrye sam caranti yat īm suvāte uṣasā virūpeitivi rūpe śvetaḥ vājī jāyate agre ahnām	The spirits of the pious turn together to Agni, as the eyes of all to Sûrya. He, when both Dawns of different hues have borne him, springs up at daybreak as a strong white charger.
janiṣṭa hi jenyaḥ agre ahnām hitaḥ hiteṣu aruṣaḥ vaneṣu dame dame sapta ratnā dadhānaḥ agniḥ hotā ni sasāda yajīyān	The noble One was born at days' beginning, laid red in colour mid the well-laid fuel. Yielding in every house his seven rich treasures, Agni is seated, Priest most skilled in worship.
agniḥ hotā ni asīdat yajīyān upa sthe mātuḥ surabhau oṁ iti loke yuvā kaviḥ puruniḥ ṣṭhaḥ r̥ta vā dhartā kr̥ṣṭīnām uta madhye iddhaḥ	Agni hath sat him down, a Priest most skilful, on a sweet-smelling place, his Mother's bosom. Young, faithful, sage, preeminent o'er many, kindled among the folk whom he sustaineth.
pra nu tyam vipram adhvareṣu sādhum agnim hotāram īl̥ate namaḥ bhi ḥ ā yaḥ tatāna rodasī iti r̥tena nityam mr̥janti vājinam ghr̥tena	This Singer excellent at sacrifices, Agni the Priest, they glorify with homage. Him who spread out both worlds by Law Eternal they balm with oil, strong Steed who never faileth.
mārjālyaḥ mr̥jyate sve damūnāḥ kavi praśastaḥ atithiḥ śivaḥ naḥ sahasra śr̥ṅgaḥ vr̥ṣabhaḥ tat ojā viśvān agne sahasā pra asi anyān	He, worshipful House-Friend, in his home is worshipped, our own auspicious guest, lauded by sages. That strength the Bull with thousand horns possesses. In might, O Agni, thou excellest others.
pra sadyaḥ agne ati eṣi anyān āviḥ yasmai cāru tamaḥ babhūtha īl̥enyaḥ vapuṣyaḥ vibhāvā priyaḥ viśām atithiḥ mānuṣīṇām	Thou quickly passest by all others, Agni, for him to whom thou hast appeared most lovely, Wondrously fair, adorable, effulgent, the guest of men, the darling of the people.
tubhyam bharanti kṣitayaḥ yaviṣṭha balim agne antitaḥ ā uta dūrāt ā bhandiṣṭhasya su matim cikiddhi br̥hat te agne mahi śarma bhadram	To thee, Most Youthful God! to thee, O Agni from near and far the people bring their tribute. Mark well the prayer of him who best extols thee. Great, high, auspicious, Agni, is thy shelter.
ā adya ratham bhānu maḥ bhānum antam agne tiṣṭha yajatebhiḥ sam antam vidvān pathīnām uru antarikṣam ā iha devān haviḥ adyāya vakṣi	Ascend to-day thy splendid car, O Agni, in splendour, with the Holy Ones around it. Knowing the paths by mid-air's spacious region bring hither Gods to feast on our oblation.
avocāma kavaye medhyāya vacaḥ vandāru vr̥ṣabhāya vr̥ṣṇe gaviṣṭhiraḥ namasā stomam agnau divi iva rukmam uru vyañcam aśret	To him adorable, sage, strong and mighty we have sung forth our song of praise and homage. Gavishṭhira hath raised with prayer to Agni this laud far-reaching, like gold light to heaven.
kumāram mātā yuvatiḥ sam ubdham guhā bibharti na dadāti pitre anīkam asya na minat janāsaḥ puraḥ paśyanti ni hitam aratau	THE youthful Mother keeps the Boy in secret pressed to her close, nor yields him to the Father. But, when he lies upon the arm, the people see his unfading countenance before them.
kam etam tvam yuvate kumāram peṣī bibharṣi mahiṣī jajāna pūrvīḥ h i garbhaḥ śaradaḥ vavardha apaśyam jātam yat asūta mātā	What child is this thou carriest as handmaid, O Youthful One? The Consort-Queen hath bome him. The Babe unborn increased through many autumns. I saw him born what time his Mother bare him.
hiraṇya dantam śuci varṇam ārāt kṣetrāt apaśyam āyudhā mimānam dadānaḥ asmai amr̥tam vipr̥kvat kim mām anindrāḥ kr̥ṇavan anukthāḥ	I saw him from afar gold-toothed, bright-coloured, hurling his weapons from his habitation, What time I gave him Amrit free from mixture. How can the Indraless, the hymnless harm me?
kṣetrāt apaśyam sanutariti carantam su mat yūtham na puru śobhamānam na tāḥ agr̥bhran ajaniṣṭa hi saḥ paliknīḥ it yuvatayaḥ bhavanti	I saw him moving from the place he dwells in, even as with a herd, brilliantly shining. These seized him not: he had been born already. They who were grey with age again grow youthful.
ke me maryakam vi yavanta gobhiḥ na yeṣām gopāḥ araṇaḥ cit āsa ye īm jagr̥bhuḥ ava te sr̥jantu ā ajāti paśvaḥ upa naḥ cikitvān	Who separate my young bull from the cattle, they whose protector was in truth no stranger? Let those whose hands have seized upon them free them. May he, observant, drive the herd to usward.
vasām rājānam vasatim janānām arātayaḥ ni dadhuḥ martyeṣu brahmāṇi atreḥ ava tam sr̥jantu ninditāraḥ nindyāsaḥ bhavantu	Mid mortal men godless have secreted the King of all who live, home of the people. So may the prayers of Atri give him freedom. Reproached in turn be those who now reproach him.
śunaḥ śepam cit ni ditam sahasrāt yūpāt amuñcaḥ aśamiṣṭa hi saḥ eva asmat agne vi mumugdhi pāsān hotariti cikitvaḥ iha tu ni sadya	Thou from the stake didst loose e'en Ṣunaḥṣepa bound for a thousand; for he prayed with fervour. So, Agni, loose from us the bonds that bind us, when thou art seated here, O Priest who knowest.
hr̥ṇīyamānaḥ apa hi mat aiye pra me devānām vrata pāḥ uvāca indraḥ vidvān anu hi tvā cacakṣa tena aham agne anu śiṣṭaḥ ā agām	Thou hast sped from me, Agni, in thine anger: this the protector of Gods' Laws hath told me. Indra who knoweth bent his eye upon thee: by him instructed am I come, O Agni.
vi jyotiṣā br̥hatā bhāti agniḥ āviḥ viśvāni kr̥ṇute mahi tvā pra adevīḥ māyāḥ sahate duḥ evāḥ śiśīte śr̥ṅgeiti rakṣase vi nikṣe	Agni shines far and wide with lofty splendour, and by his greatness makes all things apparent. He conquers godless and malign enchantments, and sharpens both his horns to gore the Raksas.
uta khānāsaḥ divi santu agneḥ tigma āyudhāḥ rakṣase hantavai oṁ iti made cit asya pra rujanti bhāmāḥ na varante pari bādhaḥ adevīḥ	Loud in the heaven above be Agni's roarings with keen-edged weapons to destroy the demons. Forth burst his splendours in the Soma's rapture. The godless bands press round but cannot stayhim.
etam te stomam tuvi jāta vipraḥ ratham na dhīraḥ su apāḥ atakṣam yadi it agne prati tvam deva haryāḥ svaḥ vatīḥ apaḥ ena jayema	As a skilled craftsman makes a car, a singer I, Mighty One! this hymn for thee have fashioned. If thou, O Agni, God, accept it gladly, may we obtain thereby the heavenly Waters.
tuvi grīvaḥ vr̥ṣabhaḥ vavr̥dhānaḥ aśatru aryaḥ sam ajāti vedaḥ iti imam agnim amr̥tāḥ avocan barhiṣmate manave śarma yaṁsat havi ṣmate manave śarma yaṁsat	May he, the strong-necked Steer, waxing in vigour, gather the foeman's wealth with none to check him. Thus to this Agni have the Immortals spoken. To man who spreads the grass may he grant shelter, grant shelter to the man who brings oblation.
tvam agne varuṇaḥ jāyase yat tvam mitraḥ bhavasi yat sam iddhaḥ tve viśve sahasaḥ putra devāḥ tvam indraḥ dāśuṣe martyāya	THOU at thy birth art Varuṇa, O Agni; when thou art kindled thou becomest Mitra. In thee, O Son of Strength, all Gods are centred. Indra art thou to man who brings oblation.
tvam aryamā bhavasi yat kanīnām nāma svadhāvan guhyam bibharṣi añjanti mitram su dhitam na gobhiḥ yat dampatī itidam patī sa manasā kr̥ṇoṣi	Aryaman art thou as regardeth maidens mysterious, is thy name, O Self-sustainer. As a kind friend with streams of milk they balm thee what time thou makcst wife and lord oneminded.
tava śriye marutaḥ marjayanta rudra yat te janima cāru citram padam yat viṣṇoḥ upa mam ni dhāyi tena pāsi guhyam nāma gonām	The Maruts deck their beauty for thy glory, yea, Rudra! for thy birth fair, brightly-coloured. That which was fixed as Vishṇu's loftiest station-therewith the secret of the Cows thou guardest.
tava śriyā su dr̥śaḥ deva devāḥ puru dadhānāḥ amr̥tam sapanta hotāram agnim manuṣaḥ ni seduḥ daśasyantaḥ uśijaḥ śaṁsam āyoḥ	Gods through thy glory, God who art so lovely! granting abundant gifts gained life immortal. As their own Priest have men established Agni; and serve him fain for praise from him who liveth.
na tvat hotā pūrvaḥ agne yajīyān na kāvyaiḥ paraḥ asti svadhāvaḥ viśaḥ ca yasyāḥ atithiḥ bhavāsi saḥ yajñena vana vat deva martān	There is no priest more skilled than thou in worship; none Self-sustainer pass thee in wisdom. Ile man within whose house as guest thou dwellest, O God, by sacrifice shall conquer mortals.
vayam agne vanuyāma tvāūtāḥ vasu yavaḥ haviṣā budhyamānāḥ vayam sa marye vidatheṣu ahnām vayam rāyā sahasaḥ putra martān	Aided by thee, O Agni may we conquer through our oblation, fain for wealth, awakened: May we in battle, in the days' assemblies,O Son of Strength, by riches conquer mortals.
yaḥ naḥ āgaḥ abhi enaḥ bharāti adhi it agham agha śaṁse dadhāta jahi cikitvaḥ abhi śastim etām agne yaḥ naḥ marcayati dvayena	He shall bring evil on the evil-plottcr whoever turns against us sin and outrage. Destroy this calumny of him, O Agni, whoever injures us with double-dealing.
tvām asyāḥ vi uṣi deva pūrve dūtam kr̥ṇvānāḥ ayajanta havyaiḥ sam sthe yat āgne īyase rayīṇām devaḥ martaiḥ vasu bhiḥ idhyamānaḥ	At this dawn's flushing, God! our ancient fathers served thee with offerings, making thee their envoy, When, Agni, to the store of wealth thou goest, a God cnkindled with good things by mortals.
ava spr̥dhi pitaram yodhi vidvān putraḥ yaḥ te sahasaḥ sūno iti ūhe kadā cikitvaḥ abhi cakṣase naḥ agne kadā r̥ta cit yātayāse	Save, thou who knowest, draw thy father near thee, who counts as thine own son, O Child of Power. O sapient Agni, when wilt thou regard us? When, skilled in holy Law, wilt thou direct us?
bhūri nāma vandamānaḥ dadhāti pitā vaso iti yadi tat joṣayāse kuvit devasya sahasā cakānaḥ sumnam agniḥ vanate vavr̥dhānaḥ	Adoring thee he gives thee many a title, when thou, Good Lord! acceptest this as Father. And doth not Agni, glad in strength of Godhead, gain splendid bliss when he hath waxen mighty?
tvam aṅga jaritāram yaviṣṭha viśvāni agne duḥ itā ati parṣi stenāḥ adr̥śran ripavaḥ janāsaḥ ajñāta ketāḥ vr̥jināḥ abhūvan	Most Youthful Agni, verily thou bearest thy praiser safely over all his troubles. Thieves have been seen by us and open foemen: unknown have been the plottings of the wicked.
ime yāmāsaḥ tvadrik abhūvan vasave vā tat it āgaḥ avāci na aha ayam agniḥ abhi śastaye naḥ na riṣate vavr̥dhānaḥ parā dāt	To thee these eulogies have been directed: or to the Vasu hath this sin been spoken. But this our Agni, flaming high, shall never yield us to calumny, to him who wrongs us.
tvām agne vasu patim vasūnām abhi pra mande adhvareṣu rājan tvayā vājam vāja yantaḥ jayema abhi syāma pr̥tsutīḥ martyānām	O AGNI, King and Lord of wealth and treasures, in thee is my delight at sacrifices. Through thee may we obtain the strength we long for, and overcome the fierce attacks of mortals.
havya vāṭ agniḥ ajaraḥ pitā naḥ vi bhuḥ vibhāvā su dr̥śīkaḥ asme iti su gārhapatyāḥ sam iṣaḥ didīhi asmadryak sam mimīhi śravāṁsi	Agni, Eternal Father, offering- bearer, fair to behold, far-reaching, far-refulgent, From well-kept household fire beam food to feed us, and measure out to us abundant glory.
viśām kavim viśpatim mānuṣīṇām śucim pāvakam ghr̥ta pr̥ṣṭham agnim ni hotāram viśva vidam dadhidhve saḥ deveṣu vanate vāryāṇi	The Sage of men, the Lord of human races, pure, purifying Agni, balmed with butter, Him the Omniscient as your Priest ye stablish: he wins among the Gods things worth the choosing.
juṣasva agne il̥ayā sa joṣāḥ yatamānaḥ raśmi bhiḥ sūryasya juṣasva naḥ sam idham jāta vedaḥ ā ca devān haviḥ adyāya vakṣi	Agni, enjoy, of one accord with Iḷâ, striving in rivalry with beams of Sarya, Enjoy, O Jâtavedas, this our fuel, and bring the Gods to us to taste oblations.
