.o namaḥ śrīsarvabuddhabodhisattvebhyaḥ /	Om! Adoration to all Buddhas and Bodhisattvas!Introduction Introductory Stanzas.
atha te vedavihitamanekaprāṇiśatavadhārambhabhīṣaṇaṃ yajñavidhiṃ suvṛṣṭihetuṃ manyamānāstasmai saṃvarṇayāmāsuḥ /	Now they, believing a solemn sacrifice as is enjoined by the Veda to be a cause of abundant rain, explained to him that he must perform such a sacrifice of a frightful character, inasmuch as it requires the massacre of many hundreds of living beings.
viditavṛttāntastu sa rājā yajñavihitānaṃ prāṇivaiśasānāṃ karuṇātmakatvānna teṣāṃ tadvacanaṃ bhāvenābhyanandat / vinayānuvṛttyā cainān pratyākhyānarūkṣākṣaramanuktvā prastāvāntareṇaiṣāṃ tāṃ kathāṃ tiraścakāra /	But after being informed of everything concerning such a slaughter as is prescribed for the sacrifice, his innate compassionateness forbade him to approve of their advice in his heart; yet out of civility, unwilling to offend them by harsh words of refusal, he slipped over this point, turning the conversation upon other topics.
te punarapi taṃ rājānaṃ dharmasaṃkathāprastāvalabdhāvasarā gāmbhīryāvagūḍhaṃ tasya bhāvamajānānā yajñapravṛttaye samanuśaśāsuḥ-	They, on the other hand, no sooner caught the opportunity of conversing with the king on matters of religion, than they once more admonished him to accomplish the sacrifice, for they did not understand his deeply hidden mind.
kāryāṇi rājñāṃ niyatāni yāni lābhe pṛthivyāḥ paripālane ca / nātyeti kālastava tāni nityaṃ teṣāṃ kramo dharmasukhāni yadvat //	You constantly take care not to neglect the proper time of performing your different royal duties, established for the sake of obtaining the possession of land and ruling it. The due order.
trivargasevānipuṇasya tasya prajāhitārthaṃ dhṛtakārmukasya / yajñābhidhāne suralokasetau pramādatandreva kathaṃ matiste //	How then is this that you who (in all other respects) are so clever in the observance of the triad (of dharma, artha, and kāma), bearing your bow to defend the good of your people, are so careless and almost sluggish as to that bridge to the world of the Devas, the name of which is sacrifice?.
bhṛtyairivājñā bahu manyate te sākṣādiyaṃ siddhiriti kṣitīśaiḥ /	Like servants, the kings (your vassals) revere your commands, thinking them to be the surest gauge of success.
śreyāṃsi kīrtijvalitāni cetuṃ yajñairayaṃ te ripukāla kālaḥ // kāmaṃ sadā dīkṣita eva ca tvaṃ dānaprasaṅgānniyamādarācca /	Now the time is come, destroyer of your foes, to gather by means of sacrifice superior blessings, which are to procure for you a shining glory. Certainly, that holiness which is the requisite for a dīkṣita is already yours, by reason of your habitual practice of charity and your strictness in observing the restraint (of good conduct).
vedaprasiddhaiḥ kratubhistathāpi yuktaṃ bhavenmoktumṛṇaṃ surāṇām //	Nevertheless, it would be fit for you to discharge your debt to the Devas by such sacrifices as are the subject-matter of the Veda.
sviṣṭyābhituṣṭāni hi daivatāni bhūtāni vṛṣṭyā pratimānayanti /	See, for instance, Mhbh. ,, foll.; Buddhacarita,..
iti prajānāṃ hitamātmana'sca yaśaskaraṃ yajñavidhiṃ juṣasva // tasya cintā prādurabhavat-atidurnyasto batāyaṃ parapratyayahāryapelavamastiramīmāṃsako dharmapriyaḥ śraddadhāno jano yatrahi nāma-	Thus considering, take to mind the welfare of your subjects and your own, and consent to the performance of a regular sacrifice, which will enhance your glory. Thereupon he entered upon this thought: Very badly guarded is my poor person indeed, being given in trust to such leaders.
ya eva lokeṣu śaraṇyasaṃmatāsta eva hiṃsāmapi dharmato gatāḥ /	Those who are reputed among men to be the best refuge, are the very persons who intend to do harm, borrowing their arguments from the Law.
vivartate kaṣṭamapāyasaṃkaṭe janastadādeśitakāpathānugaḥ //	Alas! such a man who follows the wrong path shown by them, will soon find himself driven to straits, for he will be surrounded by evils.
ko hi nāmabhisaṃbandho dharmasya paśuhiṃsayā / suralokādhivāsasya daivataprīṇanasya vā //	What connection may there be, forsooth, between righteousness and injuring animals? How may residence in the world of the Devas or propitiation of the deities have anything to do with the murder of victims?,.
viśasyamānaḥ kila mantraśaktibhiḥ paśurdivaṃ gacchati tena tadvadhaḥ /	In this way that action is interpreted to be done according to the Law. Yet it is a lie.
upaiti dharmatvamitīdamapyasat paraiḥ kṛtaṃ ko hi paratra lapsyate // asatpravṛtteranivṛttamānasaḥ śubheṣu karmasvavirūḍhaniścayaḥ /	For how is it possible that in the next world one should reap the fruits of what has been done by others? And by what reason will the sacrificial animal mount to heaven? though he has not abstained from wicked actions, though he has not devoted.
paśurdivaṃ yāsyati kena hetunā hato 'pi yajñe svakṛtāśrayādvinā // hataśca yajñe tridivaṃ yadi vrajennanu vrajeyuḥ paśutāṃ svayaṃ dvijāḥ /	And should the victim killed in sacrifice really go to heaven, should we not expect the Brāhmans to offer themselves to be immolated in sacrifice? similar practice, however, is nowhere seen among them.
yatastu nāyaṃ vidhirīkṣyate kvacidvacastadeṣāṃ ka iva grahīṣyati //	Who, then, may take to heart the advice proffered by these counsellors?.
tadicchāmi puruṣamedhasahasreṇa yaṣṭum / anviṣyatāṃ tadupayogyasaṃbhārasamudānayanārthaṃ yathādhikāramamātyaiḥ /	Let my officials, each in his sphere of business, be ordered to bring together the requisites necessary for that purpose.
parīkṣyatāṃ satrāgāraniveśanayogyo bhūmipradeśastadanuguṇaśca tithikaraṇamuhūrtanakṣatrayoga iti //	Let also an inquiry be made of the most fitting ground whereon to raise the tents and other buildings for the sattra.
athottareṣāmārambhaḥ kariṣyate krameṇa /	Further, the proper time for the This is the appellation of great Soma-sacrifices lasting for many days, sometimes even for years..
yugapatpuruṣapaśavaḥ sahasraśo hi parigṛhyamāṇā vaktamudvegadoṣāya prajānāṃ te syuriti / astyetaditi brāhmaṇairuktaḥ sa rājā tānuvāca-alamatrabhavatāṃ prakṛtikopāśaṅkayā /	For if the thousand human victims were to be seized at once, your subjects, to be sure, would blame you and be stirred up to great agitation on their account. These words of the purohita having been approved by the (other) Brāhmans, the king replied: Do not apprehend the wrath of the people, Reverends.
tatha hi saṃvidhāsye yathodvegaṃ me prajā na yāsyantīti / atha sa rājā paurajānapadān saṃnipātyābravīt-icchāmi puruṣamedhasahasreṇa yaṣṭum /	shall take such measures as to prevent any agitation among my subjects. After this the king convoked an assembly of the townsmen and the landsmen, and said: intend to perform a human sacrifice of a thousand victims.
na ca mayārhaḥ kaścidakāmaḥ puruṣaḥ paśutve niyoktumaduṣṭaḥ /	But nobody behaving honestly is fit to be designated for immolation on my part.
tadyaṃ yamataḥ prabhṛti vo drakṣyāmi vyavadhūtapramādanidreṇa vimalena cāracakṣuṣā śīlamaryadātivartinamasmadājñāṃ paribhavantam, taṃ taṃ svakulapāṃsanaṃ deśakaṇṭakamahaṃ yajñapaśunimittamādāsye ityetadvo viditamastviti / ata teṣāṃ mukhyatamāḥ prāñjalayo bhūtvainamūcuḥ-	With this in mind, give you this advice: Whomsoever of you shall hence-forward perceive transgressing the boundaries of moral conduct, despising my royal will, him will order to be caught to be a victim at my sacrifice, thinking such a one the stain of his family and a danger to my country. With the object of carrying this resolution into effect, shall cause you to be observed by faultless and sharp-sighted emissaries, who have shaken off sleepy carelessness and will report to me concerning your conduct. Then the foremost of the assembly, folding their hands and bringing them to their foreheads, spoke:,.
sarvāḥ kriyāstava hitapravāṇāḥ prajānāṃ tatrāvamānanavidhernaradeva kor 'thaḥ / brahmāpi te caritamabhyanumantumarhaḥ	Your Majesty, all your actions tend to the happiness of your subjects, what reason can there be to despise you on that account? Even (god) Brahmā cannot but sanction your behaviour..
priyaṃ yadeva devasya tadasmākamapi priyam /	For this reason anything which pleases Your Majesty must please us, too.
asmatpriyahitādanyaddṛśyate na hi te priyam // iti pratigṛhītavacanaḥ paurajānapadaiḥ sa rājā janaprakāśenāḍambareṇa pratyayitānamātyān pāpajanopagrahaṇārthaṃ janapadaṃ nagarāṇi ca preṣayāmāsa samantataśca pratyahamiti ghoṣaṇāḥ kārayāmāsa-	Indeed, you are pleased with nothing else but our enjoyment and our good. After the notables both of the town and the country had accepted his command in this manner, the king dispersed about his towns and all over his country officers, notified as such by their outward appearance to the people, with the charge of laying hold of the evil-doers, and everywhere he ordered proclamations to be made by beat of drum day after day, of this kind:.
abhayamabhayado dadāti rāja sthiraśuciśīladhanāya sajjanāya /	The king, a granter of security as he is, warrants safety to everyone who constantly cultivates honesty and good conduct, in short, to the virtuous.
avinayanirataiḥ prajāhitārthaṃ narapaśubhistu sahasraśo yiyakṣuḥ // tadyaḥ kaścidataḥprabhṛtyavinayaślāghānuvṛttyudbhavā-	Yet, intending to perform a human sacrifice for the benefit of his subjects, he wants human victims by thousands to be taken out of those who delight in misconduct.
atha tadviṣayanivāsinaḥ puruṣā yajñapaśunimittaṃ duḥśīlapuruṣānveṣaṇādaraṃ tamanvavekṣya rājñastāṃ ca ghoṣaṇāmatibhīṣaṇāṃ pratyahamupaśṛṇvantaḥ pāpajanopagrahāvahitāṃśca rājapuruṣān samantataḥ samāpatato 'bhivīkṣya tyaktadauḥśīlyānurāgāḥ śīlasaṃvarasamādānaparā vairaprasaṅgaparāṅmukhāḥ parasparapremagauravasumukhāḥ praśāntavigrahavivādā gurujanavacanānuvartinaḥ saṃvibhāgaviśāradāḥ priyātithayo vinayanaibhṛtyaślāghinaḥ kṛta iva yuge babhūvuḥ /	They avoided every occasion of hatred and enmity, and settling their quarrels and differences, cherished mutual love and mutual esteem. Obedience to the words of parents and teachers, a general spirit of liberality and sharing with others, hospitality, good manners, modesty, prevailed among them. In short, they lived as it were in the Kṛta Yuga.
bhayena mṛtyoḥ paralokacintayā kulābhimānena yaśonurakṣayā / suśuklabhāvācca virūḍhayā hrīyā janaḥ sa śīlāmalabhūṣaṇo 'bhavat //	The fear of death had awakened in them thoughts of the next world; the risk of tarnishing the honour of their families had stirred their care of guarding their reputation; the great purity of their hearts had strengthened their sense of shame.
yathā yathā dharmaparo 'bhavajjanastathā tathā rakṣijano viśeṣataḥ / cakāra duḥśīlajanābhimārgaṇāmataśca dharmānna cacāla kaścana //	Even though every one became more than ever intent on keeping a righteous conduct, still the king's servants did not diminish their watchfulness in the pursuit of the evildoers. This also contributed to prevent people from falling short of righteousness.
svadeśavṛttāntamathopaśuśruvānimaṃ nṛpaḥ prītiviśeṣabhūṣaṇaḥ /	The king, learning from his emissaries this state of things in his realm, felt extremely rejoiced.
varān priyākhyānakadānavistaraiḥ saṃtarpayitvā sacivān samanvaśāt //	He bestowed rich presents on those messengers as a reward for the good news they told him, and enjoined his ministers, speaking something like this: -.
parā manīṣā mama rakṣituṃ prajā gatāśca tāḥ saṃprati dakṣiṇīyatām /	The protection of my subjects is my highest desire, you know. Now, they have become worthy to be recipients of.
idaṃ ca yajñāya dhanaṃ pratarkitaṃ yiyak.urasmīti yathāpratarkitam //	Well, intend to accomplish my sacrifice in the manner which have considered to be the proper one.
yadīpsitaṃ yasya sukhendhanaṃ dhanaṃ prakāmamāpnotu sa tanmadantikāt /	Let every one who wishes for money, that it may be fuel for his happiness, come and accept it from my hand to his heart's content.
itīyamasmdviṣayopatāpinī daridratā nirviṣayī yathā bhavet //	In this way the distress and poverty, which is vexing our country, may be soon driven out.
mayi prajārakṣaṇaniścayasthite sahāyasaṃpatparivṛddhasādhane / iyaṃ janārtirmadamarṣadīpanī muhurmuhurme jvalatīva cetasi //	Indeed, whenever consider my own strong determination to protect my subjects and the great assistance derive from you, my excellent companions in that task, it often seems to me as though those sufferings of my people, by exciting my anger, were burning in my mind like a blazing fire. The ministers accepted the royal command and anon went to execute it.
atha te tasya rājñaḥ sacivāḥ paramamiti pratigṛhya tadvacanaṃ sarveṣu grāmanagaranigameṣu mārgaviśrāmapradeśeṣu ca dānaśālā kārayitvā yathāsaṃdiṣṭaṃ rājñā pratyahamarthijanamabhilaṣitairarthavisargaiḥ saṃtarpayāmāsuḥ / atha vihāya janaḥ sa daridratāṃ samamavāptavasurvasudhādhipāt /	They ordered alms-halls to be established in all villages, towns, and markets, likewise at all stations on the roads. This being done, they caused all who begged in order to satisfy their wants, to be provided day after day with a gift of those objects, just as had been ordered by the king. So poverty disappeared, and the people, having received wealth from the part of the king, dressed and adorned with manifold and fine garments and ornaments, exhibited the splendour of festival days.
vividhacitraparicchadabhūṣaṇaḥ pravitatotsavaśobha ivābhavat // pramuditārthijanastutisaṃcitaṃ pravitatāna nṛpasya diśo yaśaḥ / tanutaraṃgavivardhitavistaraṃ sara ivāmbujakesarajaṃ rajaḥ //	The glory of the king, magnified by the eulogies of the rejoiced recipients of his gifts, spread about in all directions in the same way, as the flowerdust of the lotuses carried forth by the small waves of a lake, extends itself over a larger and larger surface.
iti nṛpasya sunītiguṇāśrayātsucaritābhimukhe nikhile jane / samabhibhūtabalāḥ kuśalocchrayairvilayamīyurasaṅgamupadravāḥ // aviṣamatvasukhā ṛtavo 'bhavannavanṛpā iva dharmaparāyaṇāḥ /	. And after the whole people, in consequence of the wise measures taken by their ruler, had become intent on virtuous behaviour, the plagues and calamities, overpowered by the growth of all such qualities as conduce to prosperity, faded away, having lost their hold. The seasons succeeded each other in due course, rejoicing everybody by their regularity, and like kings newly established, complying with the lawful order of things.
vividhasasyadharā ca vasuṃdharā sakamalāmalanīlajalāśayā //	Consequently the earth produced the various kinds of corn in abundance, and there was fullness of pure and blue water and lotuses in all waterbasins.
na janamabhyarujan prabalā rujaḥ paṭutaraṃ guṇamoṣadhayo dadhuḥ / ṛtuvaśena vavau niyato 'nilaḥ pariyayuśca śubhena pathā grahāḥ //	No epidemics afflicted mankind; the medicinal herbs possessed their efficacious virtues more than ever; the monsoons blew in due time and regularly; the planets moved along in auspicious paths.
na paracakrakṛtaṃ samabhūdbhayaṃ na ca parasparajaṃ na ca daivikam /	Nowhere there existed any danger to be feared, either from abroad, or from within, or such as might be caused by derangements of the elements.
niyamadharmapare nibhṛte jane kṛtamivātra yugaṃ samapadyata //	Continuing in righteousness and In the printed text the first line of this stanza is deficient, two syllables at the end being wanting.
athaivaṃ pravṛttena dharmayajñena rājñā praśamiteṣvarthijanaduḥkheṣu sārdhamupadravaiḥ pramuditajanasaṃbādhāyāsmabhyudayaramyadarśanāyāṃ vasuṃdharāyasṃ nṛpaterāśīrvacanādhyayanasavyāpāre loke vitanyamāne samantato rājayaśasi prasādāvarjitamatiḥ kaścidamātyamukhyo rājānamityuvāca-suṣṭhu khalvidamucyate-	By the power, then, of the king performing his sacrifice in this manner in accordance with (the precepts of) the Law, the sufferings of the indigent were put to an end together with the plagues and calamities, and the country abounded in a prosperous and thriving population offering the pleasing aspect of felicity. Accordingly people never wearied of repeating benedictions on their king and extending his renown in all directions One day one of the highest royal officials, whose heart had been inclined to the (True) Belief spoke thus to the king: This is a true saying, in truth.
uttamādhamamadhyānāṃ kāryāṇāṃ nityadarśanāt / uparyupari buddhīnāṃ carantīśvarabuddhayaḥ //	Monarchs, because they always deal with all kinds of business, the highest, the lowest, and the intermediate, by far surpass in their wisdom any wise men.
iti / devena hi paśuvaiśasavācyadoṣavirahitena dharmayajñena prajānāmubhayalokahitaṃ saṃpāditamupadravāśca praśamaṃ nītāḥ, dāridryaduḥkhāni ca śīle pratiṣṭhāpitānām /	For, Your Majesty, you have obtained the happiness of your subjects both in this world and in the next, as the effect of your sacrifice being performed in righteousness, free from the blameable sin of animal slaughter. The hard times are all over and the sufferings of poverty have ceased, since men have been established in the precepts of good conduct.
kiṃ bahunā? sabhāgyāstā prajāḥ /	Why use many words? Your subjects are happy..
lakṣmeva kṣaṇadākarasya vitataṃ gātre na kṛṣṇājinaṃ dīkṣāyantraṇayā nisargalalitā ceṣṭā na mandodyamaḥ / mūrdhnaśchatranibhasya keśaracanā śobhā tathaivātha ca tyāgaiste śatayajvano 'pyapahṛtaḥ kīrtyāśrayo vismayaḥ //	The black antelope's skin which covers your limbs has the resemblance of the spot on the bright moon's surface, nor can the natural loveliness of your demeanour be hindered by the restraint imposed on you by your being a dīkṣita. Your head, adorned with such hair-dress as is in compliance with the rites of the dīkṣā, possesses no less lustre than when it was embellished with the splendour of the royal umbrella.
hiṃsaviṣaktaḥ kṛpaṇaḥ phalepsoḥ prāyeṇa lokasya nayajña yajñaḥ /	As a rule, you wise ruler, the sacrifice of those who long for the attainment of some good, is a vile act, accompanied as it is by injury done to living beings.
yajñastu kīrtyābharaṇaḥ samaste śīlasya nirdoṣamanoharasya //	Your sacrifice, on the contrary, this monument of your glory, is in complete accordance with your lovely behaviour and your aversion to vices.
aho prajānāṃ bhāgyāni yāsāṃ gopāyitā bhavān /	In some points, however, venture to propose some alterations.
prajānāmapi hi vyaktaṃ naivaṃ syādgopitā pitā //	To gātreṇa of the., gãtre na of the ed., should prefer gātreșu.
apara uvāca-	See note on p.
dānaṃ nāma dhanodaye sati jano datte tadāśāvaśaḥ	The sattra and the dīkṣā continue as long as the sacrifice is being performed.
syācchīle 'pi ca lokapaktyabhimukhaḥ svarge ca jātaspṛhaḥ /	If the wealthy practise charity, they are commonly impelled to do so by the hopes they put in the cultivation of that virtue; good conduct, too, may be accounted for by the wish to obtain high regard among men or the desire of reaching heaven after death.
yā tveṣā parakāryadakṣiṇatayā tadvatpravṛttistayo- rnāvidvatsu na sattvayogavidhureṣveṣā samālakṣyate // tadevaṃ kalyāṇāśayā na pāpapratāraṇāmanuvidhīyanta ityāśayaśuddhau prayatitavyam //	But such a practice of both, as is seen in your skill in securing the benefit of others, cannot be found but in those who are accomplished both in learning and in virtuous exertions. In such a way, then, those whose hearts are pure do not act up to the enticement of the wicked.
iti prajāhitodyogaḥ śreyaḥ kīrtisukhāvahaḥ /	[In the spiritual lessons for princes, also, this is to be said: Who to his subjects wishing good, himself exerts, Thus brings about salvation, glory, happiness.
evaṃ rājāvavāde 'pi vācyam / dharmābhyāsaḥ prajānāṃ bhūtimāvahatīti bhūtikāmena dharmānuvartinā bhavitavyamityevamapyunneyam / na paśuhiṃsā kadācidabhyudayāya, dānadamasaṃyamādayastvabhyudayāyeti tadarthinā dānādipareṇa bhavitavyamityevamapi vācyam /	No other should be of a king the business. And it may be added as follows: (The prince) who strives after material prosperity, ought to act in accordance with the precepts of religion, thinking a religious conduct of his subjects to be the source of prosperity. Further this is here to be said: Injuring animals never tends to bliss, but charity, self-restraint, continence and the like have this.
lokārthacaryāpravaṇamatirevaṃ pūrvajanmasvapi bhagvāniti tathāgatavarṇe 'pi vācyam // iti yajñajātakaṃ daśamam //	of the Pāli Jātaka is told with the same intention but in a different manner. The resolve of the Bodhisattva and his stopping bloody sacrifices is better accounted for in our text.
11 śakrajātakam /	, translated by Rhys Davids, Buddhist Birth Stories, pp.
āpadapi mahātmanāmaiśvaryasaṃpadvā sattveṣvanukampāṃ na śithilīkaroti /	-.) Neither adversity nor the brilliancy of sovereign power can relax in the high-minded the virtue of compassion towards living beings.
tadyathānuśrūyate-bodhisattvaḥ kilānalpakālasvabhyastapuṇyakarmā sātmībhūtapradānadamasaṃyamakaruṇaḥ parahitaniyatakriyātiśayaḥ kadācicchakro devānāmindro babhūva //	This will be taught now. In the time when the Bodhisattva, having well practised meritorious actions for a long time, and having come into possession of the virtues of charity, self-restraint, continence and compassion, was directing his extraordinary performances for the benefit of others, once, it is said, he became Śakra, the Lord of the Devas.
surendralakṣmīradhikaṃ rarāja tatsaṃśrayātsphītatraprabhāvā /	The magnificence of the Chief of the Celestials shone in a higher degree and displayed a greater majesty, since that rank had fallen to his share.
harmye sudhāsekanavāṅgarāge niṣaktarūpā śaśinaḥ prabheva //	Something analogous may be seen, when a palace adorned by a covering of fresh stucco is made resplendent by the moonbeams.
yasyāḥ kṛte ditisutā rabhasāgatāni di"gnāgadantamusalānyurasābhijagmuḥ /	The rich lustre of that mighty state, to conquer which the sons of Diti dared push forward against the impetuous advance of the world-elephants and expose their breasts to their pestle-like tusks, that brilliancy was his.
saubhāgyavistarasukhopanatāpi tasya lakṣmīrna darpamalinaṃ hṛdayaṃ cakāra //	But though he easily enjoyed that happiness, at his command, nevertheless, that bliss did not stain his heart with pride..
tasya divaspṛthivyoḥ samyakparipālanopārjitāṃ sarvalokānuvyāpinīṃ kīrtisaṃpadaṃ tāṃ ca lakṣmīmatyadbhutāmamṛṣyamāṇā daityagaṇāḥ kalpanāṭopabhīṣaṇataradviradarathaturagapadātinā kṣubhitasāgaraghoranirghoṣeṇa jājvalyamānavividhapraharaṇāvaraṇadurnirīkṣyeṇa mahatā balakāyena yuddhāyaiamabhijagmuḥ /	Now the Demons could not bear the renown nor the very wonderful bliss which he enjoyed, and waged war against him. They marched to his encounter to fight him with an enormous army of elephants, chariots, horsemen and footmen, being the more terrible, as they were drawn up in the proud array of battle and made a noise as awful as that of the wild Ocean. Through the glittering blaze of their various kinds of offensive and defensive weapons they hardly suffered themselves to be looked at.
dharmātmano 'pi tu sa tasya parāvalepaḥ	He for his part, though attached to the precepts of righteousness, felt however within his heart the disposition to indulge in the frenzy of fighting.
krīḍāvighātavirasaṃ ca bhayaṃ janasya / tejasvitā nayapathopanataḥ kramaśca yuddhodbhavābhimukhatāṃ hṛdayasya cakruḥ //	He was prompted to do so by the pride of his enemies, by the danger of his own men, unpleasantly interrupted in their peaceful sport, also by the regard of his majesty and of the traditional line of conduct along the path of political wisdom.
atha sa mahāsattvasturagavarasahasrayuktamabhyucchritārhadvasanacihnaruciradhvajaṃ vividhamaṇiratnadīptivyavabhāṣitamatijvaladvapuṣaṃ kalpanāvibhāgopaniyataniśitajvalitavividhāyudhavirājitobhayapārśvaṃ pāṇḍukambalinaṃ haimaṃ rathavaramabhiruhya mahatā hastyaśvarathapadātivicitreṇa devānīkena parivṛtastadasurasainyaṃ samudratīrānta eva pratyujjagāma //	So he mounted his excellent golden chariot, to which a thousand excellent horses were put. This chariot was decorated in front with a beautiful, high-floating banner which bore a figure in the attire of an Arhat for its emblem. Its outer appearance was exceedingly brilliant, owing to the lustre reflected by the manifold precious stones and jewels that adorned it, and to the brightness which irradiated its flanks The spirits of darkness, called Daityas (sons of Diti) or Dānavas (Sons of Danu) or Asuras.
atha pravavṛte tatra bhīrūṇāṃ dhṛtidāraṇaḥ /	On the inside it was covered with a fine white blanket.
anyonyāyudhaniṣpeṣajarjarāvaraṇo raṇaḥ //	Various cries were heard in the tumult of that struggle.
tiṣṭha naivamitaḥ paśya kvedānīṃ manna mokṣyase / praharāyaṃ na bhavasītyevaṃ te 'nyonyamārdayan //	Stay! Not in this manner! Here! Look out! Where are you now? You will not escape me! Strike! You are a dead man! So challenging one another they fought.
tataḥ pravṛtte tumule sphūrjatpraharaṇe raṇe / paṭahardhvaṃninotkruṣṭaiḥ sphuṭatīva nabhastalam //	And this noise mixing with the clashing and crashing of the arms all over the battle field and the sound of the drums, made Heaven shake and almost burst.
dānagandhoddhatāmarṣeṣvāpatatsu parasparam / yugāntāvātākalitaśailabhīmeṣu dantiṣu //	The elephants on both sides, rushing on each other with great fury increased by the smell of the flowing juice, offered the frightful spectacle of mountains swept along by the wind of a world-destroying period.
vidyullolapatākeṣu prasṛteṣu samantataḥ / ratheṣu paṭunirghoṣeṣutpātāmbudhareṣviva //	Like portentous clouds, the chariots swept over the field, their floating standards resembling the lightning, and the rattling noise they made being as the roaring of the thunder.
pātyamānadhvajacchatraśastrāvaraṇamauliṣu / devadānavavīreṣu śitairanyonyasāyakaiḥ //	Sharp arrows were flying over both armies, and fell down amidst the warriors of both the Devas and the Demons, hitting.
atha prataptāsuraśastrasāyakairbhayātpradudrāva surendravāhinī /	At the end the army of Śakra took to flight, frightened by the fiery swords and arrows of the Demons.
rathena viṣṭabhya balaṃ tu vidviṣāṃ surendraḥ ekaḥ samare vyatiṣṭhata //	The Lord of the Celestials alone held still the field, barring with his chariot the host of his enemies.
abhyudīrṇaṃ tvāsuraṃ balamatiharṣātpaṭutarotkruṣṭakṣveḍitasiṃhanādamabhipatitamabhisamīkṣya mātalirdevendrasārathiḥ svaṃ ca balaṃ palāyanaparamavetya apayānamatra prāptakālamiti matvā devādhipateḥ syandanamāvartayāmāsa /	When Matali, the charioteer of the Lord of the Devas, perceived that the army of the Demons, high-spirited and overjoyed, was coming over them with a tremendous noise of loud war-cries and shouts of victory, whereas the army of the Devas was almost intent on flight, he thought it was now the proper time to retreat, and so he turned the chariot of the Ruler of the Devas.
atha śakro devendraḥ samutpatato ratheṣāgrābhimukhānyabhighātapathāgatāni śālmalīvṛkṣe garuḍanīḍāsnyapaśyat /	While they were making the ascent, Śakra, the Lord of the Devas, caught sight of some eagle-nests which were placed on a silk-cotton tree just in the line of direction of the chariot-pole, so that they must needs be crushed by it.
dṛṣṭvaiva ca karuṇayā samālambyamānahṛdayo mātaliṃ saṃgrāhakamityuvāca-	No sooner had he seen them, than seized with compassion he said to Mātali, his charioteer:.
ajātapakṣadvijapotasaṃkulā dvijālayāḥ śālmalipādapāśrayāḥ /	The birds nests on this silk-cotton tree are filled with not yet winged young ones.
amī pateyurna yahā ratheṣayā vicūrṇitā vāhaya me rathaṃ tathā // mātaliruvāca-amī tāvanmārṣa samabhiyānti no daityasaṃghā iti / śakra uvāca tataḥ kim? pariharaitāni samyasggaruḍanīḍānīti /	Drive my chariot in such a manner that these nests will not fall down crushed by the chariot-pole. Mätali answered: In the meanwhile the crowds of the Demons will overtake us, sir. Śakra said: Never mind. Do you but take the proper care in avoiding these eagle-nests. Upon which Mätali answered.
nivartanādasya rathasya kevalaṃ śivaṃ bhavedamburuhākṣa pakṣiṇām /	Nothing short of turning the chariot can save the birds, Lotus-eyed One.
cirasya labdhaprasarā sureṣvasāvabhidravatyeva tu no dviṣaccamūḥ // atha śakro devendraḥ svamadhyāśayātiśayaṃ sattvaviśeṣaṃ ca kāruṇyaviśeṣātprakāśayannuvāca-	But we have at our heels yon host of foes who after a long time are at last getting the better of the Devas. At this moment Śakra, the Lord of the Devas, moved by the utmost compassion, showed his extraordinary goodness of heart and firmness of intention.
tasmānnivartaya rathaṃ varameva mṛtyu-rdaityādhipaprahitabhīmagadābhighātaiḥ /	Well then, said he, turn the chariot.
dhigvādadagdhayaśaso na tu jīvitaṃ me sattvānyamūni bhayadīnamukhāni hatvā // atha mātalistatheti pratiśrutya turagasahasrayuktaṃ syandanamasya nivartayāmāsa /	Better is it for me to die by the terrible club-strokes of the chiefs of the Demons than to live blameful and dishonoured, if should have murdered those poor terror-stricken creatures. Mātali promised to do so, and turned his car, drawn by a thousand horses.
dṛṣṭāvadānā ripavastu tasya yuddhe samālokya rathaṃ nivṛttam /	Now the foes who had witnessed his heroism in battle, seeing that the chariot turned, were overtaken with fear, and got into confusion.
bhayadrutāḥ praskhalitāḥ praṇemurvātābhinunnā iva kālameghāḥ //	Their ranks gave way like dark rain-clouds driven away by the wind..
bhagne svasainye vinivartamānaḥ panthānamāvṛtya ripudhvajinyāḥ / saṃkocayatyeva madāvalepameko 'pyasaṃbhāvyaparākramatvāt //	In the case of a defeat one single man turning his face to the enemy and barring the way of the enemy's forces, will sometimes abate the pride and haughtiness of the victors by the unexpectedness of his heroic valour.
nirīkṣya bhagnaṃ tu tadāsuraṃ balaṃ surendrasenāpyatha sā nyavartata /	For the Returning from the battle-field on the border of the Ocean to his residence in Heaven, Śakra must needs drive upward..
saharṣalajjaistridaśaiḥ surādhipaḥ sabhājyamāno 'tha raṇājirācchanaiḥ / abhijvalaccāruvapurjayaśriyā samutsukāntaḥpuramāgamatpuram //	Then the Devas, whose joy was mingled with shame, paid homage to their Lord; after which, brilliant and beautiful by the radiance of victory he quietly returned from the battle-field to his city, where his zenana impatiently longed for him.
evaṃ sa eva tasya saṃgrāmasya vijayo babhūva /	In this way was the victory gained in that battle.
tasmāducyate-	It is for this reason that the saying goes:.
pāpaṃ samācarati vītaghṛṇo jaghanyaḥ	The low-minded do wicked actions in consequence of their cruelty.
prāpyāpadaṃ saghṛṇa eva tu madhyabuddhiḥ /	Average men, though pitiful, will do so, when come into distress.
