Vasubandhu: Triṃśikāvijñaptikārikā	Trimsikavijnapti of the Vasubandhu with Bhasya of the acarya Sthiramati
tatra sukho 'nubhavo yasminn utpanne viyogecchā niruddhe ca punaḥ saṃyogecchā jāyate / duḥkho 'nubhavo yasminn utpanne viyogecchā niruddhe ca punar asaṃyogecchā / aduḥkhāsukho yasminn utpanne niruddhe cobhyaṃ na jāyate /	Pleasant awareness is from which one does not wish to be separated once it has occurred, to be reconnected to it once it has ceased; uncomfortable awareness is the state in which both are inversely related; is neither unpleasant nor pleasant awareness when neither occurs nor ceases.
saṃjñā viṣayanimittodgrahaṇam /	Concept is the apprehension of a peculiarity of the object.
nimittaṃ tadviśeṣo nīlapītādyālambanavyavasthākāraṇam / tasyodgrahaṇaṃ nirūpaṇaṃ nīlam etan na pītam iti /	The subject is the object, and peculiarity is a peculiarity of it, which causes the object to be recognized precisely as 'black', 'yellow', etc.Its apprehension is the recognition 'this is black, not yellow'.
cetanā cittābhisaṃskāro manasaś ceṣṭā yasyāṃ satyām ālambanaṃ prati cetasaḥ praspanda iva bhavaty ayaskāntavaśād ayaḥpraspandavat /	Will is an arming of the mind, an activity of the inner sense such that during it the mind moves, as it were, toward its object as iron moves under the influence of a magnet.
vedanā trividhā sukhā duḥkhā aduḥkhāsukhā ca /	Feeling is threefold: pleasant, unpleasant, neither pleasant nor unpleasant.
dharmāś catuḥ prakārāḥ kuśalā akuśalā anivṛtāvyākṛtā nivṛtāvyākṛtāś ca /	All elements are of fourfold kind: good, bad, naked neutral, masked neutral.
tatrālayavijñāne vid iti sāmānyopadeśena na vijñāyate tisṝṇāṃ vedanānāṃ katamā vedanā / tathā tad api kiṃ kuśalam akuśalam anivṛtāvyākṛtaṃ nivṛtāvyākṛtam iti na vijñāyata ity ata āha /	Since feeling is listed in the alayavijnana without any further definition, one does not know which of the three types of feeling is meant, nor whether it is good, bad, undisguised neutral or veiled neutral. Therefore he says: The feeling in him is indifference, and it itself is undisguised neutral.
tatrety ālayavijñānam eva prakṛtatvāt saṃbadhyate /	Since the alayavijnana is dealt with here, 'in him' refers to the same thing.
upekṣaivālayavijñāne vedanā na sukhā na duḥkhā tayoḥ paricchinnālambanākāratvād rāgadveṣānuśayitatvāc ca / anivṛtāvyākṛtañ ca tat / (4b)	In the alayavijnana the feeling is merely indifference, not pleasant nor unpleasant, because the form of these two is a recognized object and love or hate is always attached to them.It is blatantly neutral, the talk is of alayavijnāna.
tatrānivṛtagrahaṇaṃ nivṛtavyavacchedārtham / avyākṛtagrahaṇaṃ kuśalākuśalavyavacchedārtham /	It is referred to as 'unveiled' to exclude 'veiled'; and 'neutral' to exclude 'good' and 'evil'. It is unveiled' because it is not covered by the purely spiritual faults that come and go.
manobhūmikair āgantukair upakleśair anāvṛtatvād anivṛtam /	The ten vicious elements of limited occurrence are purely mental insofar as they do not occur with the panca-vijnāna-kāyas, and 'come and go', so are limited in their occurrence and duration.
vipākatvād vipākaṃ prati kuśalākuśalatvenāvyākaraṇād avyākṛtam /	The impact is not differentiated in terms of good and bad.
yathālayavijñānam ekāntena vipāko 'paricchinnālambanākāraṃ sadā sparśādibhir anvitaṃ tatra copekṣaiva vedanānivṛtāvyākṛtañ ca tathā sparśādayo 'py ekāntena vipākā evāparicchinnālambanākārāś ca / ātmānaṃ hitvetaraiś caturbhir ālayavijñānena ca nityam anugatās teṣu copekṣaiva vedanānivṛtāvyākṛtāś cālayavijñānavat / na hi vipākena saṃprayuktānām avipākatvam aparicchinnālambanākāreṇa ca paricchinnālambanākāratvaṃ saṃbhavati /	It is the same with sensation, etc. As the alayavijnana, mere effect of karma, has an unrecognized object as its form and is always accompanied by sensation, etc., where the feeling is merely indifference and itself undisguisedly neutral, so also sensation, etc., are mere effect of karma and its form is the unrecognized object; each is always accompanied by the other four and the alayavijnana, and the feeling that is one of them is merely indifference; they are frankly neutral as is the alayavijnana.For all the elements that accompany karma effect (ie the alayavijnana) must also be karma effect, and because they accompany the alayavijnana, the form of which is the unrecognized object, they cannot have the form of a realized object.
evam anyatrāpi vācyam //	The same declaration is also valid in other cases.
kiṃ punas tad ālayavijñānam ekam abhinnam āsaṃsāram anuvartate / uta saṃtānena /	Now, does this alayavijnana remain unified and undivided until the end of samsara (of the person concerned), or as a chain?
na hi tad ekam abhinnam anuvartate kṣaṇikatvāt / kiṃ tarhi / tac ca vartate srotasaughavat // 4d	It is not unitary and undivided because It is momentary, but It is in perpetual flux like a river.
tac cety ālayavijñānam eva saṃbadhyate /	'It' refers to the alayavijnana.
tatra sroto hetuphalayor nairantaryaprabandhena pravṛttiḥ /	'Constant Flow' is the uninterrupted progression of cause and effect.
udakasamūhasya pūrvāparabhāgāvicchedena pravāha ogha ity ucyate /	The flow of a mass of water that occurs without breaking between the front and rear parts is called a stream.
yathā hy oghas tṛṇakāṣṭhagomayādīn ākarṣayaṅ gacchaty evam ālayavijñānam api puṇyāpuṇyāneñjyakarmavāsanānugataṃ sparśamanaskārādīn ākarṣan srotasāsaṃsāram avyuparataṃ pravartata iti /	For as a stream of grass, wood, dung, etc., continues to flow, so also the alayavijnana, accompanied by the latent impressions of good, bad, and neutral actions, draws sensation, attention, etc., continuing in steady flow until the end of samsāra ceaselessly there.The resulting event is always indifferent in the moral sense, because it is a natural outflow of a previous cause, and is supposed not to be produced voluntarily.
tasyaivaṃ śrotasā pravṛttasya kasyām avasthāyāṃ vyāvṛttir ity āha /	In what state does the alayavijnana, so in perpetual flux, come to an end?
tasya vyāvṛttir arhattve / 5a	To which he replies: His end is in Arhattum.
kiṃ punar arhattvam /	But what is arhattum?
yadyogād arhann ity ucyate /	That by the attainment of which one is called an arhat.
kasya punar yogād arhann ity ucyate /	And by attaining what is one called an arhat?
kṣayajñānānutpādajñānalābhāt /	Through the attainment of fading knowledge and non-arising knowledge.
tasyāṃ hy avasthāyām ālayavijñānāśritadauṣṭhulyaniravaśeṣaprahāṇād ālayavijñānaṃ vyāvṛttaṃ bhavati /	For it is in this state that the alayavijnana reaches its end after the complete elimination of the unfitness based on it and this state is the arhattum.
uktaḥ savibhaṅgo vipākapariṇāmaḥ /	The modification of consciousness, the effect of karma together with its cancellation has been dealt with.
idānīṃ mananākhyāṃ dvitīyaṃ pariṇāmam āha /	Now he discusses the second modification, which is contemplation.
tatra yathā cakṣurādivijñānānāṃ cakṣurādaya āśrayatvena rūpādayaś cālambanatvena prasiddhā naiva kliṣṭasya manasa āśraya ālambanaṃ vā prasiddham	Relying on it comes forth' etc. As for sight etc. sight etc. are fixed as seat and color etc. as object in the same way the seat and object of the contaminated inner sense are not fixed.Now consciousness without relation to seat and object is impossible.
na ca vijñānam āśrayālambananirapekṣaṃ yujyata ity ataḥ kliṣṭasya manasa āśrayālambanapratipādanārthaṃ niruktipratipādanārthañ cāha /	Therefore he says, in order to teach the seat and object of the contaminated inner sense as well as its explanation of the word: Relying on it it comes forth having as its object the consciousness called inner sense', which consists in contemplation.
tad āśritya pravartate /	Here jnana seems to mean transcendental knowledge.
tadālambaṃ manonāma vijñānaṃ mananātmakam // 5bcd tad āśritya pravartata iti tacchabdenālayavijñānam abhisaṃbadhyate / tadvāsanāśrayo hy ālayavijñānam atas tad āśritya pravartate santānenotpadyata ity arthaḥ /	anutpada-jnana would be the transcendental knowledge of a world in which there is no arising or causality. According to CN p. 3 it is equal to sarvajnata, prajna-paramita ua Kshaya-jnana would be such a knowledge of a world in which there is impermanence, ie causality Abh.
atha vā yasmin dhātau bhūmau vālayavijñānaṃ vipākas tad api kliṣṭaṃ manas taddhātukaṃ tadbhūmikaṃ ceti tatpratibaddhavṛttitvāt tad āśritya pravartate tadālambam ity ālayavijñānālambanam eva satkāyadṛṣṭyādibhiḥ saṃprayogād ahaṃ mamety ālayavijñānālambanatvāt / kathaṃ punar yata eva cittād utpadyate tad eva tadālambanaṃ bhavati / yathā tad anicchatāṃ keṣāṃcit kasyāñcid avasthāyāṃ yata eva cittān manovijñānam utpadyate tadālambanam eva tad utpadyate /	cakşurvijnana to kayavijnana, the dhatus CC p. With asraya are meant the ayatana : cakşurindriya to kayendriya, and with alambana their visaya, ayatana : rupayatana to sprastavyayatana, CC f.I suspect that this expression has a similar meaning to the conjunction of the absolutive with the. In the phrase 'relying on it comes forth' the word 'on it' refers to the alayavijnana. Namely, the seat of the latent impressions of it is the ālayavijnana; therefore, resting on it, it comes forth, ie, arises as a chain. Or one can also explain in the following way: To which world and to which level an alayavijnana belongs, the same world and level also belongs to the corresponding contaminated inner sense; therefore he comes forth resting on that, because his existence is firmly connected with that. Having it as an object', the alayavijnāna is its object, because because of the connection with the delusion of a permanent personality, etc. The alayavijnana in the conception of 'I' and 'mine' is its object. But how can the same mind from which inner sense arises also be its object? Just as for those who do not accept the alayavijnana, in any state the manovijnana arises with the very mind as the object from which it itself arose.The consciousness called inner sense.
manonāma vijñānam iti mana iti nāma ākhyā yasya vijñānasya tad ālayavijñānam āśritya pravarte tadālambanaṃ ca manonāmety anenālayavijñānāt pravṛttivijñānāc ca vyavacchinatti /	Consciousness, whose name is inner sense, is based on the alayavijnāna and has this for its object. By the addition 'whose name is inner sense', this consciousness is distinguished from both the alayavijnana and the pravṛttivijnāna.
tat punaḥ kiṃ svabhāvam ity āha / mananātmakam iti /	But what its essence is, that says (the attribute): which consists in contemplation'.
evaṃ mananātmakatvān mana ity ucyate nairūktena vidhinā /	Because it consists in contemplation (manana), it is called inner sense (manas) by etymology.
vijñānasvarūpatvād avaśyaṃ tac caittaiḥ saṃprayujyate /	Since it is essentially conscious, it must be accompanied by spiritual elements.
idaṃ tu na jñāyate katamais tac caittaiḥ kiyadbhiḥ kiyantaṃ kālaṃ vā saṃprayujyata ity ata āha / kleśaiś caturbhiḥ sahitaṃ nivṛtāvyākṛtaiḥ sadā / 6ab caittā hi dviprakārāḥ kleśās tad anye ca /	This means the drsțis that go to v.6 will be explained. NBT, by which and how many or for how long he is accompanied, he says: He is always accompanied by four veiled-neutral hereditary evils, namely the spiritual elements can be divided into two classes, in hereditary evils and divide the rest; to exclude the rest, he says: 'of the hereditary evils'.
kleśā api ṣaṭ / na ca taiḥ saṃprayujyate 'taś caturbhir ity āha /	The hereditary evil there are six; he is not accompanied by all of them, that's why he says 'of four'.
kleśā api dvividhāḥ / akuśalā nivṛtāvyākṛtāś ca / akuśalebhyo viśeṣārtham āha nivṛtāvyākṛtair iti /	The hereditary evils can also be divided into two classes: evil and cloaked neutral; in order to distinguish them from the evil ones, he says: from 'veiled-neutral'.
na hi nivṛtena vijñānenākuśalānāṃ saṃprayogaḥ saṃbhavati /	For evil cannot accompany a cloaked neutral consciousness.
nivṛtāḥ kliṣṭatvāt / avyākṛtāḥ kuśalākuśalatvenāvyākaraṇāt /	They are 'veiled' because they are defiled and 'neutral' because they are not differentiated in terms of good and evil.
sadeti sarvakālam / yāvat tad asti tāvat taiḥ saṃprayuktam /	'Always' = anytime, as long as it exists, as long as it is accompanied by them.
sāmānyanirdeśād viśeṣato na jñāyanta iti viśeṣato nirdiśati / ātmadṛṣṭyātmamohātmamānātmasnehasaṃjñitaiḥ // 6cd upādānaskandheṣv ātmeti darśanam ātmadṛṣṭiḥ satkāyadṛṣṭir ity arthaḥ /	Since the were only listed in general terms, they are not yet specifically known; therefore he lists them specifically, which are there termed error of self, ignorance of self, pride of self, love of self.Taking the upādāna-skandhas to be the Self is 'error from the Self', ie belief in a permanent person.
moho 'jñānam /	Ignorance is ignorance.
ātmany ajñānam ātmamohaḥ /	ātmamoha is ignorance of the Self.
ātmani sneha ātmasneha ātmapremety arthaḥ /	atmamana is self-centered pride, ie pride in one's ego. Love of self ie atmaprema.
tatrālayavijñānasvarūpe saṃmūḍhaḥ sann ālayavijñāne ātmadṛṣṭim utpādayati /	One who is ignorant of ālayavijnana falls into 'Error of Self' regarding it.
ātmadarśanād yā cittasyonnatiḥ so 'smimānaḥ /	The elevation of mind when believing in a self is 'pride in self'.
etasmiṃs traye saty ātmābhimate vastuni yo 'bhiṣvaṅgaḥ sa ātmasnehaḥ /	When these three are present, affection for what is thought to be self is love of self.
avidyayā cātmadṛṣṭyā cāsmimānena tṛṣṇayā / ebhiś caturbhiḥ saṃkliṣṭaṃ mananālakṣaṇaṃ manaḥ // viparyāsanimittaṃ tu manaḥ kliṣṭaṃ sadaiva tat /	"By ignorance and error of self, by pride of self and craving, by these four is defiled the inner sense, which is marked by contemplation.The inner sense, which is always contaminated, causes the change to evil in a mind that was good or neutral, is always the cause of egotism.
ete hy ātmamohādayaḥ kleśā manovan navabhūmikāḥ /	These namely: "The hereditary evils 'error from the self' etc. are found like the inner sense on all nine levels.
